T,AX,AY,AZ,GX,GY,GZ
46,-5.719748,-0.464475,-5.698200,0.009060,0.104187,-0.022383
61,-5.544971,-0.433351,-5.650316,0.007594,0.112314,-0.016387
76,-5.451597,-0.421380,-5.518635,0.010126,0.104453,-0.007061
91,-5.286397,-0.488417,-5.336676,-0.002931,0.063951,0.012257
106,-5.116409,-0.442927,-5.327099,-0.015322,0.013190,0.028245
121,-5.262455,-0.545878,-5.427655,-0.019851,-0.020917,0.033175
136,-5.523423,-0.471658,-5.456386,0.002531,-0.015721,0.014256
151,-5.592855,-0.555455,-5.533000,0.035839,0.013323,-0.024115
166,-5.379771,-0.701501,-5.513846,0.031043,0.040769,-0.044632
181,-5.310339,-0.715866,-5.554548,0.012790,0.050495,-0.052493
196,-5.384560,-0.646434,-5.422867,0.018652,-0.000133,-0.058755
211,-5.370194,-0.665588,-5.418078,-0.002531,-0.010126,-0.048629
226,-5.528212,-0.569820,-5.595249,-0.009459,-0.029044,-0.032508
241,-5.616797,-0.615310,-5.712565,-0.036505,-0.014922,-0.005196
256,-5.667075,-0.629675,-5.662287,-0.066216,0.025181,0.023315
271,-5.688623,-0.531513,-5.664681,-0.076208,0.048896,0.028511
286,-5.487510,-0.421380,-5.633556,-0.058622,0.086734,0.005329
301,-5.319916,-0.342371,-5.494693,-0.019319,0.080205,-0.026646
316,-5.250484,-0.488417,-5.451597,0.005862,0.067948,-0.040103
331,-5.202600,-0.486023,-5.279215,0.015588,0.022916,-0.041302
346,-5.181052,-0.529119,-5.427655,0.011058,-0.027179,-0.027312
361,-5.291186,-0.579397,-5.410896,-0.003064,-0.061819,-0.002931
376,-5.667075,-0.615310,-5.568913,-0.048763,-0.057822,0.025847
391,-6.078878,-0.691924,-5.944803,-0.094461,0.005862,0.047697
406,-5.975927,-0.605733,-6.057330,-0.119109,0.108717,0.044100
421,-5.635951,-0.426168,-5.932832,-0.121507,0.158012,0.036505
436,-5.269638,-0.325611,-5.686229,-0.094328,0.144956,0.019718
451,-5.190629,-0.217872,-5.477933,-0.043700,0.101922,0.003198
466,-5.140351,-0.246603,-5.360618,0.016387,0.050894,-0.015322
481,-5.023035,-0.447716,-5.343858,0.060221,-0.013057,-0.019185
496,-5.092467,-0.586579,-5.331887,0.062619,-0.080072,-0.009193
511,-5.336676,-0.749385,-5.458780,0.033974,-0.117110,0.013590
526,-5.516241,-0.471658,-5.453991,0.029044,-0.148420,0.014256
541,-5.822699,-0.562637,-5.650316,0.059688,-0.096326,-0.005462
556,-5.906496,-0.773327,-6.030994,0.075009,-0.011325,-0.033441
571,-5.942409,-1.055843,-6.088455,0.046764,0.065949,-0.050495
586,-5.947197,-1.074997,-5.997475,-0.013989,0.095793,-0.052093
601,-5.595249,-0.914585,-5.796362,-0.054625,0.109116,-0.046897
