T,AX,AY,AZ,GX,GY,GZ
46,-3.694253,2.169147,-6.296751,-0.024648,0.020651,0.005196
61,-3.694253,2.111686,-6.373365,-0.023049,0.013723,0.002132
76,-3.790021,2.068590,-6.370971,-0.025447,0.028645,0.001332
91,-3.742137,2.080561,-6.409278,-0.027046,0.019052,0.000933
106,-3.696647,2.070984,-6.442797,-0.033308,0.022649,0.003331
121,-3.593697,2.097321,-6.466739,-0.031975,0.011191,0.001732
136,-3.804386,2.138022,-6.409278,-0.035040,0.022116,-0.000266
151,-3.799598,2.133234,-6.447585,-0.029977,-0.002132,0.001066
166,-3.665523,2.188300,-6.457162,-0.029577,0.019185,0.000000
181,-3.734955,2.157176,-6.361394,-0.033175,0.010392,0.003464
196,-3.636792,2.202666,-6.373365,-0.032508,0.007328,-0.001332
211,-3.864241,2.171541,-6.354211,-0.030643,0.007461,0.000133
226,-3.665523,2.118868,-6.363788,-0.026113,0.002531,0.001199
241,-3.689465,2.195483,-6.363788,-0.027312,0.015188,-0.000133
256,-3.675100,2.078167,-6.366182,-0.022250,0.009060,0.000133
271,-3.871424,2.059013,-6.452374,-0.029178,0.028112,0.000133
286,-3.706224,2.135628,-6.411672,-0.029444,0.011325,-0.000133
301,-3.620033,2.183512,-6.500257,-0.030643,0.023848,-0.004530
316,-3.622427,2.126051,-6.397307,-0.026380,-0.001332,-0.001998
331,-3.883395,2.118868,-6.404490,-0.031576,0.025847,-0.004663
346,-3.773262,2.205060,-6.440403,-0.029444,0.001466,-0.003597
361,-3.581726,2.159570,-6.315904,-0.027712,0.013856,-0.002931
376,-3.739743,2.193089,-6.428432,-0.027979,-0.004263,-0.003597
391,-3.782839,2.121263,-6.339846,-0.021184,-0.004263,-0.001599
406,-3.833117,2.102109,-6.332664,-0.023715,-0.000400,-0.002531
421,-3.665523,2.066196,-6.363788,-0.027579,0.006795,-0.000400
436,-3.713407,2.087744,-6.421249,-0.031176,0.011058,0.000666
451,-3.751714,2.061408,-6.394913,-0.027179,0.015055,0.000933
466,-3.845088,2.138022,-6.430826,-0.034907,0.030243,0.002132
481,-3.593697,2.161964,-6.440403,-0.026113,0.009193,-0.000266
496,-3.711013,2.157176,-6.387730,-0.027446,0.027712,0.000400
511,-3.794810,2.032677,-6.418855,-0.025314,0.002531,-0.000266
526,-3.847482,2.140416,-6.406884,-0.022916,0.019452,-0.000533
541,-3.703830,2.171541,-6.318298,-0.029977,0.018652,0.002798
556,-3.643975,2.078167,-6.418855,-0.031975,0.009992,0.005862
571,-3.746926,2.092532,-6.356606,-0.039703,0.018786,0.005329
586,-3.806781,2.145205,-6.452374,-0.034507,0.005462,0.001599
601,-3.667917,2.140416,-6.442797,-0.027979,0.002931,-0.001466
616,-3.742137,2.126051,-6.421249,-0.026779,-0.002931,-0.001732
631,-3.756502,2.094926,-6.368577,-0.025714,-0.012391,-0.003331
646,-3.842694,2.121263,-6.373365,-0.029577,0.019452,-0.000266
661,-3.785233,2.140416,-6.418855,-0.025047,0.003198,0.000400
676,-3.672705,2.114080,-6.289568,-0.026380,0.020917,0.001332
691,-3.706224,2.099715,-6.476315,-0.028778,0.014123,0.007594
706,-3.775656,2.070984,-6.263232,-0.025847,0.012524,0.008394
721,-3.758897,2.099715,-6.385336,-0.031576,0.019718,0.007861
736,-3.620033,2.169147,-6.416461,-0.024115,0.009992,0.012923
751,-3.763685,2.037466,-6.426037,-0.023182,0.015988,0.011724
766,-3.792415,2.047042,-6.349423,-0.030643,0.016654,0.011858
781,-3.780444,2.214637,-6.502652,-0.030910,0.010658,0.008260
796,-3.581726,2.212242,-6.347029,-0.024914,0.013590,0.000933
811,-3.711013,2.267309,-6.442797,-0.026779,0.020518,0.000933
826,-3.785233,2.087744,-6.303933,-0.025047,0.008127,0.000400
841,-3.797204,2.035071,-6.359000,-0.032775,0.035173,0.001865
856,-3.713407,2.097321,-6.390124,-0.028645,0.015988,0.002665
871,-3.581726,2.149993,-6.385336,-0.031975,0.025181,0.001466
886,-3.816357,2.149993,-6.500257,-0.025847,0.019452,0.004263
901,-3.730166,2.106897,-6.402095,-0.027579,0.014522,0.000533
916,-3.758897,2.140416,-6.411672,-0.026779,0.018386,0.004663
931,-3.663129,2.190695,-6.232107,-0.027979,0.014922,0.005462
946,-3.823540,2.090138,-6.440403,-0.026247,0.018253,0.001998
961,-3.816357,2.008735,-6.373365,-0.025314,0.010126,0.002931
976,-3.672705,2.183512,-6.347029,-0.028378,0.027712,0.002665
991,-3.703830,2.111686,-6.373365,-0.028378,0.022250,0.001865
1006,-3.643975,2.142811,-6.409278,-0.022916,0.011191,0.001332
1021,-3.950433,2.097321,-6.485892,-0.030910,0.028911,0.002531
