T,AX,AY,AZ,GX,GY,GZ
46,5.609614,-2.726996,-5.264850,-0.171735,-0.130700,-0.247943
61,5.585672,-2.669535,-5.382165,-0.210372,-0.136962,-0.199314
76,5.655104,-2.535460,-5.556942,-0.196116,-0.143757,-0.187723
91,5.743690,-2.576161,-5.497087,-0.180662,-0.187989,-0.178663
106,5.600038,-2.516306,-5.485116,-0.174133,-0.193718,-0.178130
121,5.513846,-2.588132,-5.681440,-0.159478,-0.204776,-0.165473
136,5.324705,-2.609680,-5.734113,-0.171069,-0.198781,-0.153216
151,5.439626,-2.580949,-5.695806,-0.170003,-0.168271,-0.147087
166,5.444415,-2.415750,-5.884948,-0.150551,-0.162276,-0.152017
181,5.284003,-2.461239,-5.870583,-0.113646,-0.148953,-0.159744
196,5.190629,-2.410961,-6.004658,-0.084469,-0.120574,-0.164940
211,5.116409,-2.480393,-6.093243,-0.071012,-0.071279,-0.151351
226,5.116409,-2.346318,-6.126762,-0.080205,-0.029844,-0.128302
241,5.106832,-2.329558,-6.004658,-0.105386,0.014789,-0.094861
256,5.264850,-2.070984,-6.004658,-0.114046,0.031842,-0.063685
271,5.264850,-1.941698,-5.963956,-0.084602,0.043833,-0.034374
286,5.248090,-2.068590,-5.990293,-0.069280,0.069813,-0.016387
301,5.262455,-2.135628,-5.849035,-0.045432,0.069280,0.000533
316,5.418078,-2.284068,-5.707777,-0.031309,0.072211,0.015988
331,5.588067,-2.501941,-5.681440,-0.029044,0.058355,0.027179
346,5.554548,-2.652776,-5.509058,-0.032775,0.062752,0.028511
361,5.549759,-2.839523,-5.578490,-0.037305,0.056623,0.019052
376,5.542577,-2.803610,-5.525817,-0.034773,0.027446,0.003597
391,5.568913,-2.772485,-5.513846,-0.051427,0.021850,-0.004930
406,5.650316,-2.686294,-5.585672,-0.061153,0.009726,-0.013723
421,5.485116,-2.609680,-5.621585,-0.062485,-0.001732,-0.014922
436,5.418078,-2.521094,-5.760449,-0.074077,0.003997,-0.012257
451,5.427655,-2.612074,-5.801151,-0.077807,0.015721,-0.006795
466,5.535394,-2.631228,-5.688623,-0.075142,0.031309,-0.007461
481,5.458780,-2.645593,-5.657498,-0.076874,0.045432,-0.014655
496,5.413290,-2.734178,-5.765238,-0.074210,0.048763,-0.029311
511,5.535394,-2.652776,-5.633556,-0.053959,0.038371,-0.042634
526,5.561730,-2.568978,-5.597643,-0.075142,0.046631,-0.044366
541,5.475539,-2.499547,-5.681440,-0.080472,0.062619,-0.050761
556,5.437232,-2.442086,-5.750873,-0.069147,0.050361,-0.049296
571,5.473145,-2.360683,-5.600038,-0.057023,0.049429,-0.036639
586,5.635951,-2.298434,-5.650316,-0.068081,0.066482,-0.020118
601,5.614403,-2.351106,-5.695806,-0.073544,0.055557,-0.007461
616,5.580884,-2.410961,-5.698200,-0.082870,0.047697,0.004530
631,5.544971,-2.343923,-5.736507,-0.084069,0.038770,0.017320
646,5.604826,-2.202666,-5.798757,-0.047697,0.034374,0.016920
661,5.657498,-2.121263,-5.717353,0.034240,0.019052,-0.008926
676,5.626374,-2.334347,-5.779603,0.111515,-0.011325,-0.043833
691,5.458780,-2.367865,-5.650316,0.182527,-0.026247,-0.081138
706,5.628768,-2.489970,-5.655104,0.249409,-0.051427,-0.129368
721,5.743690,-2.559402,-5.650316,0.300836,-0.072877,-0.163475
736,5.798757,-2.820369,-5.537788,0.308031,-0.087933,-0.158012
751,5.695806,-2.985569,-5.475539,0.273524,-0.101123,-0.139760
766,5.724536,-2.786851,-5.449203,0.268461,-0.116044,-0.132299
781,5.894525,-2.602497,-5.468357,0.305632,-0.148553,-0.148953
796,5.724536,-2.552219,-5.566519,0.373847,-0.205576,-0.178263
811,5.521029,-2.686294,-5.516241,0.417014,-0.207308,-0.198515
826,5.329493,-2.767697,-5.568913,0.396363,-0.187057,-0.200779
841,5.267244,-2.626439,-5.748478,0.413816,-0.154681,-0.203977
856,5.413290,-2.499547,-5.837064,0.441795,-0.121907,-0.201845
871,5.176264,-2.738967,-5.791574,0.444726,-0.094328,-0.193319
886,5.159504,-2.724602,-5.834670,0.456450,-0.055158,-0.196783
901,5.324705,-2.657564,-5.887342,0.491224,-0.049162,-0.214502
916,5.434838,-2.765303,-5.700594,0.546781,-0.039836,-0.225827
931,5.398925,-2.995146,-5.540183,0.545982,-0.042501,-0.210505
946,5.432444,-3.131616,-5.446809,0.502681,-0.047697,-0.175732
961,5.487510,-3.296816,-5.434838,0.462046,-0.067149,-0.134031
976,5.695806,-3.203442,-5.252879,0.420478,-0.075142,-0.102322
991,5.659893,-3.399766,-5.226542,0.391167,-0.114712,-0.072078
1006,5.463568,-3.646369,-5.250484,0.338274,-0.100856,-0.048496
1021,5.521029,-3.811569,-5.214571,0.268994,-0.083802,-0.029311
1036,5.561730,-4.058172,-5.188235,0.170802,-0.059554,-0.011858
1051,5.674258,-4.182670,-5.245696,0.021583,-0.051560,0.016254
1066,5.418078,-3.948039,-5.420473,-0.103387,-0.054092,0.030377
1081,5.415684,-3.706224,-5.386954,-0.155747,-0.017587,0.038637
1096,5.427655,-3.643975,-5.523423,-0.176931,-0.015322,0.037971
1111,5.468357,-3.354276,-5.482722,-0.191453,0.002665,0.030776
1126,5.358223,-3.308787,-5.604826,-0.204910,0.007061,0.030243
1141,5.176264,-3.306392,-5.576096,-0.217567,0.035573,0.034507
1156,5.183446,-3.220201,-5.635951,-0.227292,0.083802,0.034240
1171,5.257667,-3.335123,-5.568913,-0.227692,0.119109,0.021717
1186,5.343858,-3.260903,-5.542577,-0.216101,0.142158,0.004930
1201,5.379771,-3.287239,-5.549759,-0.171868,0.143890,-0.007727
