T,AX,AY,AZ,GX,GY,GZ
46,7004,6528,-7864,1075,8306,-10285
73,8032,6500,-7968,1539,5869,-8979
100,11952,7352,-7908,-837,3328,-3702
127,7908,6724,-7144,-4345,1361,731
154,7888,8804,-8264,-2483,-1806,1065
181,6668,7344,-10432,2467,-4010,-876
208,5700,4668,-11228,3249,-3774,169
235,7456,4720,-10060,857,-4612,3958
262,7444,6380,-9944,-82,-3862,6258
289,7152,6968,-10356,1429,-4928,7144
316,6552,4932,-10608,2916,-5993,7083
343,4844,2048,-11460,2894,-7107,6980
370,1860,-840,-13172,872,-6719,7087
397,1344,-32,-14056,-584,-5084,6360
424,992,1888,-14356,1004,-4584,4094
451,-168,1108,-14076,2540,-3839,2262
478,-116,552,-13800,1163,-2369,2677
505,240,1236,-13652,-616,-740,3048
532,1304,2184,-12820,-276,-30,2629
559,2248,2088,-11924,-256,392,2803
586,3828,2348,-11200,-564,-107,3347
613,3672,1856,-11376,-701,-1044,3441
640,3520,1124,-11780,-380,-1658,2524
667,2556,672,-12388,-1107,-1529,2331
694,2204,1044,-13236,-1529,-368,1639
721,1792,1076,-13300,-690,779,425
748,2612,1096,-12972,138,1411,-530
775,3504,1288,-12512,978,1614,-1474
802,4036,636,-12068,1123,1879,-2163
829,4452,480,-11704,594,1985,-2102
856,4936,980,-11400,-579,1762,-1288
883,4840,2160,-11164,-652,594,-956
910,4356,2736,-11008,-640,-1106,-297
937,4772,3976,-11312,-95,-2292,402
964,3972,3492,-11616,2012,-4276,-251
991,1988,1328,-12696,1971,-5016,159
1018,848,168,-13792,850,-4262,534
1045,-552,-828,-14676,2,-2633,108
1072,-1040,-1256,-14748,294,-896,-1464
1099,-436,-612,-14396,153,1105,-2728
1126,736,292,-13496,507,2613,-3807
1153,1836,116,-12800,926,2633,-5030
1180,2220,-112,-12252,-141,2387,-5189
1207,2672,568,-12316,-1577,2771,-4858
1234,2652,952,-12492,-2067,2604,-5185
1261,1828,740,-12652,-2399,2803,-5616
1288,1984,1184,-12636,-3799,3644,-5047
1315,2216,2380,-12356,-3898,4255,-5140
1342,2764,3020,-11856,-2885,4084,-6074
1369,3568,3540,-11508,-2176,3937,-6594
1396,3316,3812,-11248,-2402,3685,-6091
1423,4056,4736,-11036,-2097,3306,-5357
1450,4052,4588,-11172,-1794,2618,-4557
1477,4220,5372,-11560,-1271,2685,-3852
1504,4060,4920,-11748,-43,2314,-3500
1531,4956,4420,-10844,-719,701,-1396
1558,4644,5272,-10312,-2097,326,660
1585,3956,5784,-10760,-1077,-357,867
1612,3592,5012,-11020,584,-778,336
1639,3852,4616,-10820,1444,-1029,704
1666,4736,5440,-10200,1908,-1791,2010
1693,6440,7152,-9388,1913,-4209,4690
1720,6464,6948,-8268,1293,-6029,8040
1747,6512,7140,-8076,539,-8686,11596
1774,5164,6744,-8012,-87,-12150,14496
1801,4200,6500,-8756,286,-15307,15488
1828,1972,5504,-9448,1550,-17207,15608
1855,-112,4056,-10152,2274,-17193,15240
1882,-1980,2540,-10184,581,-17718,16207
1909,-4120,3048,-10976,662,-17132,14789
1936,-6204,1316,-12072,1901,-15191,12664
1963,-6328,344,-12424,2250,-14627,10472
1990,-5796,384,-12368,1549,-13785,9428
2017,-6844,60,-11872,183,-13663,9441
2044,-8596,-948,-11884,-2686,-11866,9677
2071,-8560,1712,-12244,-3028,-9921,7806
2098,-8004,2436,-11920,338,-10424,3836
2125,-7796,1044,-11452,2347,-12417,412
2152,-17936,4920,-18248,6460,1787,-2421
2179,-6620,-124,-12348,7449,1918,-2528
2206,-5992,-512,-11156,4782,-2026,-2835
2233,-7904,-624,-11304,2125,-56,-2732
2260,-10360,304,-12512,-420,1989,-1950
2287,-11552,384,-13084,277,3568,-3815
2314,-11400,-876,-13332,432,6591,-5076
2341,-10620,-1352,-12960,-585,9085,-6029
2368,-9220,-872,-12640,-1687,11289,-7048
2395,-7696,-132,-12220,-2065,11953,-8471
2422,-6928,-16,-12108,-1852,12885,-10173
2449,-5528,264,-11868,-2163,13797,-11150
2476,-4108,472,-11532,-2770,13536,-11267
2503,-3044,728,-11316,-4175,14281,-10523
2530,-1636,2208,-11008,-4819,14515,-10151
2557,-1216,2536,-10508,-4522,14737,-10248
2584,64,2704,-10496,-3769,13987,-10800
2611,1408,2684,-10144,-4008,13114,-10400
2638,2272,3136,-10132,-4454,12074,-9602
2665,2724,3280,-9752,-5487,11592,-8619
2692,3940,5252,-9992,-4692,10735,-8329
2719,4512,5612,-9900,-2882,8898,-8726
2746,4784,5300,-10088,-1944,6966,-8325
2773,4616,5112,-10192,-2069,5741,-6878
2800,4704,5428,-10284,-2722,5098,-5503
2827,5008,6744,-11044,-1945,4606,-4171
2854,5088,6516,-9240,-2248,1397,-828
2881,5508,6936,-8960,-2054,248,265
2908,4568,6136,-10096,-239,-1395,62
2935,3524,4376,-10988,335,-1861,198
2962,3016,3776,-11488,391,-1320,534
2989,3624,4680,-11632,639,-967,926
3016,4604,6068,-10792,1497,-1440,1273
3043,5088,6752,-10420,1672,-2499,2863
3070,6204,7752,-9396,2302,-4464,4950
3097,5620,7676,-9112,3489,-6462,6793
3124,4704,6220,-9084,3546,-7874,8774
3151,3448,4728,-9364,2366,-9462,11178
3178,2020,4228,-9620,866,-10280,13098
3205,1652,4548,-10500,1713,-11015,12904
3232,356,3640,-11144,3602,-11921,11605
3259,24,3244,-11060,4729,-12497,10563
3286,-1576,1872,-11272,5386,-12434,10234
3313,-2720,-568,-11484,3658,-11745,10986
3340,-2420,200,-11716,1961,-12075,10510
3367,-3428,604,-11628,2042,-11893,9350
3394,-4384,208,-11716,1739,-11489,9012
3421,-5384,-408,-11940,594,-10752,9098
3448,-6212,-32,-12380,-91,-9959,7908
3475,-6316,560,-12552,932,-9555,6028
3502,-6456,104,-12284,682,-8566,5552
3529,-7124,120,-12148,-298,-7457,5490
3556,-6996,-476,-11944,-502,-7569,4723
3583,-7048,-2036,-11656,-2388,-8552,4195
3610,-8376,-1812,-11396,-5565,-9668,3463
3637,-10508,3028,-16508,-1234,2101,99
3664,-4232,-36,-12200,2486,-49,-2050
3691,-6608,820,-10940,586,90,-1994
3718,-6788,636,-10824,1277,1421,-4210
3745,-9640,-1580,-12408,659,1845,-5277
3772,-11208,-1452,-13624,-2059,5813,-4947
3799,-10416,1008,-14348,-1326,8365,-6722
3826,-8488,1304,-14000,1534,9607,-9960
3853,-7984,-1212,-13296,599,11145,-11014
3880,-7048,-1052,-12608,-2241,12914,-10501
3907,-5772,140,-12324,-3989,13985,-10166
3934,-4368,1196,-11884,-4471,14961,-10420
3961,-3148,1124,-11260,-4603,14629,-10546
3988,-1632,2112,-11012,-5317,14433,-10351
4015,-832,2096,-10552,-5458,14028,-10027
4042,280,2160,-10208,-6931,13577,-8912
4069,912,3412,-10040,-8188,12798,-7582
