T,AX,AY,AZ,GX,GY,GZ
46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,-9.337386,-1.790863,1.352724,0.072877,-0.768611,1.787430
75,-8.638280,-1.819593,1.043872,1.123539,-0.096459,0.972455
90,-8.935161,-1.496376,1.209072,1.152983,-0.076475,1.160178
105,-8.628703,-1.331176,1.175553,1.168438,-0.178796,1.354695
120,-8.681376,-0.945710,1.553837,1.150985,-0.137361,1.552943
135,-8.477868,0.079009,1.412579,1.263432,-0.244746,1.679646
150,-8.707711,0.519542,1.290475,1.545882,-0.240349,1.726011
165,-8.796297,0.790087,1.233014,1.852714,-0.189188,1.768512
180,-8.604761,0.699107,1.355118,2.137162,-0.112447,1.823003
195,-8.341398,0.282516,1.395820,2.292243,-0.004397,1.948107
210,-8.214506,-0.653617,1.216254,2.169271,0.110982,2.206443
225,-8.106767,-0.648829,1.019930,1.859642,0.223162,2.532193
240,-8.267179,0.002394,0.885855,1.606636,0.361590,2.829698
255,-8.080431,0.876278,0.679953,1.464211,0.553709,3.054326
270,-7.589619,2.238579,0.588974,1.515106,0.657763,3.147055
285,-6.880936,3.557784,0.629675,1.776505,0.684276,3.138662
300,-6.121974,2.954445,0.014365,1.833795,0.659361,3.243781
315,-5.372589,2.908955,-0.675165,1.504314,0.660028,3.506513
330,-5.583278,4.003105,-1.256956,1.210273,0.677348,3.713421
345,-5.652710,4.680664,-1.821988,0.921028,0.817773,3.853181
360,-4.848258,6.347029,-1.683124,0.805916,0.894248,3.867170
375,-3.727772,9.361328,-1.362301,1.129001,0.798055,3.605237
390,-2.547431,11.113884,-1.326388,1.837925,0.537588,3.080573
405,-2.219425,10.498574,-1.968034,2.540720,0.286181,2.524732
420,-6.641515,8.123527,-0.138864,2.705793,1.192553,2.312761
435,-1.051054,7.477092,-3.914520,1.949706,2.215636,2.024848
450,-2.549825,5.674258,-4.122815,1.130201,-0.419812,2.294242
465,-3.778050,5.477933,-3.543418,0.681078,0.968325,2.726178
480,-1.398214,7.898471,-3.718195,0.121507,0.860940,2.657430
495,-1.106121,9.224859,-3.402161,-0.047430,0.640043,2.523533
510,-0.136469,10.826580,-3.584120,-0.014789,0.692536,2.182461
525,-0.438139,11.477803,-4.326323,-0.033041,0.303368,1.827000
540,-0.701501,11.810596,-4.070143,0.032375,0.307764,1.354562
555,-0.873884,11.963825,-3.967192,0.142158,0.208507,0.856544
570,-1.663970,12.294226,-3.313575,0.234487,0.419145,0.388502
585,-1.393425,10.797850,-3.823540,0.399960,0.159611,0.188123
600,-2.384625,9.272743,-3.526659,0.368784,0.047164,0.081804
615,-2.650381,8.506598,-3.220201,0.108450,0.083536,0.050628
630,-2.389413,8.116343,-3.543418,-0.269926,0.163475,0.086201
645,-2.669535,8.499416,-3.349488,-0.477234,0.176398,0.108983
660,-2.281674,9.042900,-3.330334,-0.572628,0.166006,0.088599
675,-1.764527,9.533711,-3.380613,-0.603138,0.134031,-0.022783
690,-1.278504,10.536881,-3.679888,-0.566632,-0.048230,-0.214902
705,-1.731008,10.582372,-3.517082,-0.477101,-0.108583,-0.456850
720,-1.908179,10.620679,-3.675100,-0.428738,-0.200913,-0.668554
735,-2.583344,9.821015,-3.466804,-0.446458,-0.233155,-0.860807
750,-2.212242,9.081207,-3.541024,-0.828299,-0.288446,-0.887187
765,-2.343923,8.781932,-3.538630,-1.174034,-0.358792,-0.957266
780,-2.296039,9.548077,-3.069366,-1.523100,-0.395697,-1.017087
795,-1.936909,10.297462,-3.090914,-1.674850,-0.551577,-1.184959
810,-1.996764,10.670957,-2.511518,-1.623156,-0.272458,-1.432369
825,-1.936909,10.223241,-2.408567,-1.566666,-0.723179,-1.586917
840,-3.169923,9.619903,-1.450886,-1.627553,-0.582087,-1.771309
855,-3.476381,9.471461,-1.158794,-1.679513,-0.507078,-1.906273
870,-3.612850,9.315839,-0.969652,-1.543750,-0.642574,-2.007262
885,-3.495534,8.640674,-1.063026,-1.340706,-0.569697,-2.056291
900,-3.112462,8.085219,-0.969652,-1.328449,-0.588349,-2.043634
915,-3.119645,8.104373,-1.089362,-1.441828,-0.726643,-2.079740
930,-4.333505,7.862558,0.112527,-1.500850,-0.631783,-2.159812
945,-4.718971,7.577648,0.555455,-1.629818,-0.792859,-2.160345
960,-5.693411,7.431602,0.988805,-1.551744,-0.660827,-2.169804
975,-5.935226,7.407660,1.053449,-1.307265,-0.401426,-2.243481
990,-5.178658,6.555324,0.938527,-1.157779,-0.243413,-2.238951
1005,-5.372589,5.916072,1.046266,-1.225461,-0.044233,-2.137829
1020,-5.298368,5.422867,1.139640,-1.378943,0.044233,-2.054559
1035,-5.995081,5.315128,1.405396,-1.647671,0.162942,-1.979683
1050,-6.256049,5.662287,1.692701,-1.820072,0.213037,-1.984080
1065,-6.260838,6.497863,2.082955,-1.738934,0.273524,-2.087867
1080,-5.997475,7.460332,1.908179,-1.264364,0.123905,-2.305300
1095,-6.655880,6.787562,1.802834,-0.612864,-0.001732,-2.529395
1110,-7.168240,4.654328,1.922544,-0.176398,-0.085668,-2.613331
1125,-7.721300,2.494758,2.066196,-0.261266,-0.020518,-2.430005
1140,-7.891289,1.742979,2.183512,-0.601139,0.073943,-2.144224
1155,-7.807492,1.549048,2.116474,-0.939147,0.063818,-1.892283
1170,-7.999028,1.965640,2.042254,-1.225061,0.063951,-1.688972
1185,-8.020576,2.698265,2.212242,-1.257969,0.054625,-1.600773
1200,-8.082825,2.789245,2.090138,-1.143657,-0.039037,-1.575992
1215,-8.755595,2.844311,2.166753,-0.964328,-0.073677,-1.567999
1230,-8.789114,2.078167,2.054225,-0.793392,0.016920,-1.521368
1245,-8.734048,1.130063,2.032677,-0.801253,0.030110,-1.387870
1260,-8.743625,1.019930,2.042254,-0.919296,0.118443,-1.227726
1275,-8.717288,1.137246,2.219425,-1.000300,0.051028,-1.095028
1290,-9.330204,1.015141,2.422932,-1.142724,0.198115,-0.978184
1305,-8.825027,1.323994,2.252944,-1.156314,0.049562,-0.911701
1320,-9.255983,1.517924,2.327164,-1.061720,0.051560,-0.873864
1335,-9.449914,1.431733,2.240973,-0.932752,0.035706,-0.861207
1350,-9.129091,1.266533,2.339135,-0.793259,0.028378,-0.834960
1365,-8.959103,1.070208,2.255338,-0.705859,0.065417,-0.830430
1380,-8.908824,1.211466,2.451663,-0.586217,0.056357,-0.823636
1395,-9.433154,0.387861,2.700660,-0.537055,0.111781,-0.783666
1410,-9.425972,-0.035913,2.908955,-0.608734,0.253273,-0.676815
1425,-9.591172,0.225055,3.047819,-0.591280,0.256204,-0.580755
1440,-9.136273,0.404620,2.700660,-0.469907,0.140959,-0.544649
1455,-9.452308,0.320823,2.533065,-0.371315,0.168138,-0.509743
1470,-9.440337,0.162806,2.473210,-0.244613,0.158012,-0.480565
1485,-9.342175,0.124498,2.341529,-0.200913,0.209440,-0.416614
1500,-9.557653,0.076614,2.308010,-0.153083,0.179596,-0.377711
1515,-9.567230,0.081403,2.331952,-0.140292,0.157080,-0.322686
1530,-9.689334,0.155623,2.269703,-0.136695,0.250475,-0.273790
1545,-9.284714,0.426168,2.219425,-0.142424,0.225427,-0.239550
1560,-9.435549,0.684742,2.209848,-0.096726,0.185991,-0.233021
1575,-9.212888,0.756568,1.905784,0.013323,0.205043,-0.261933
1590,-9.275137,0.756568,1.860295,0.127502,0.124838,-0.289378
1605,-9.167398,0.569820,1.836353,0.215568,0.068081,-0.309363
1620,-9.342175,0.193930,1.814805,0.312694,0.021717,-0.309230
1635,-9.583989,-0.351948,1.841141,0.415015,0.003864,-0.277254
1650,-9.660604,-0.914585,1.884237,0.440596,-0.019319,-0.181328
1665,-9.689334,-1.359907,1.869871,0.423009,-0.040103,-0.029977
1680,-9.378088,-1.498770,1.927332,0.297639,-0.055291,0.164541
1695,-9.459491,-1.058237,2.121263,0.222230,-0.093795,0.356527
1710,-9.217676,-0.256180,2.183512,0.248343,-0.085934,0.463378
1725,-9.181764,0.258574,2.418144,0.389035,-0.119109,0.488026
1740,-9.109938,0.416591,2.439692,0.561037,-0.139227,0.467375
1755,-9.406818,0.239420,2.281674,0.702395,-0.124704,0.451254
1770,-9.327809,0.050278,2.363077,0.825368,-0.077541,0.459515
1785,-9.153033,-0.064643,2.410961,0.926757,-0.057023,0.508410
1800,-9.176975,-0.387861,2.446874,0.967126,-0.033041,0.610998
1815,-9.148245,-0.328006,2.504335,1.008161,-0.062352,0.723579
1830,-9.222465,-0.387861,2.537854,1.092096,-0.041835,0.834427
1845,-9.172187,-0.251391,2.516306,1.176832,0.003331,0.941279
1860,-9.066842,0.162806,2.624045,1.333911,0.043966,1.026946
1875,-8.892065,0.371101,2.516306,1.535090,0.076475,1.095294
1890,-8.884882,0.239420,2.432509,1.704694,0.128302,1.183093
1905,-8.901642,-0.050278,2.363077,1.757453,0.183193,1.336043
1920,-8.599973,-0.179565,2.384625,1.707358,0.276322,1.552943
1935,-8.463503,-0.088585,2.171541,1.550412,0.399161,1.816608
1950,-8.197746,0.878672,1.881842,1.439430,0.471106,1.993806
1965,-8.176199,2.082955,1.814805,1.580922,0.417413,2.026314
1980,-8.111555,2.636016,1.587356,1.842588,0.435799,1.981548
1995,-8.046912,2.870648,1.628057,2.105054,0.455518,1.964495
2010,-7.750031,2.269703,1.304840,2.261600,0.529594,2.006596
2025,-7.800309,1.563414,0.837971,2.133965,0.582220,2.171403
2040,-7.395689,0.957681,0.474052,1.603571,0.674949,2.466377
2055,-7.086837,1.067814,-0.035913,0.840289,0.690804,2.845286
2070,-7.189787,2.458845,-0.332794,0.209839,0.659894,3.150786
2085,-6.914454,4.805163,-0.304064,0.078873,0.676948,3.254173
2100,-6.100426,7.074866,-0.074220,0.476701,0.639377,3.120276
2115,-5.568913,8.202535,-0.205901,1.162443,0.478167,2.839291
2130,-5.236119,8.185776,-0.296881,1.828865,0.407155,2.572962
2145,-4.680664,5.758055,-0.656011,1.856311,0.307631,2.481165
2160,-4.879383,4.434062,-1.106121,1.069580,0.352397,2.649170
2175,-5.001487,5.015852,-1.855506,-0.101256,0.255138,3.029012
2190,-6.452374,7.503428,-0.387861,-0.229291,2.394432,2.911502
2205,-1.685518,11.027693,-2.518700,-0.098858,0.906106,2.738701
2220,-3.478775,13.819332,-0.711078,1.192953,0.413150,2.206309
2235,-2.231396,12.770672,-1.493982,2.365121,0.216368,1.605570
2250,-2.736573,9.871293,-1.788469,2.740433,0.196116,1.273025
2265,-3.189077,7.963115,-2.466028,2.256271,0.395031,1.051461
2280,-3.505111,7.194576,-2.449268,1.634747,0.452587,1.154315
2295,-3.181894,8.001422,-2.604891,1.011891,0.609666,1.109283
2310,-3.481169,8.966285,-2.794033,0.900110,0.529461,0.977384
2325,-3.375824,9.627085,-2.561796,0.981781,0.580622,0.818839
2340,-3.964798,9.071630,-2.082955,1.141792,0.612064,0.770343
2355,-3.720589,7.443573,-2.444480,0.783400,0.895714,0.537055
2370,-2.978387,6.423643,-3.165135,0.370783,0.642574,0.828165
2385,-3.153164,6.864176,-3.727772,-0.211704,0.576625,0.989642
2400,-2.918532,7.888895,-3.361459,-0.510809,0.691470,1.007628
2415,-2.571373,9.155427,-2.904167,-0.525597,0.732106,0.877994
2430,-1.661576,10.055647,-3.730166,-0.354528,0.330147,0.662559
2445,-2.339135,9.832986,-3.409343,0.019052,0.270726,0.394631
2460,-2.329558,9.184157,-3.356671,0.334410,0.155348,0.225028
2475,-2.494758,8.152257,-3.411737,0.423009,0.084602,0.150285
2490,-2.521094,7.096414,-3.586514,0.261799,0.047430,0.212237
2505,-3.014300,6.694188,-3.483563,-0.148020,0.181461,0.333345
2520,-2.549825,7.084443,-3.646369,-0.593279,0.280319,0.442194
2535,-1.685518,8.439561,-3.667917,-0.925158,0.213170,0.424741
2550,-1.407791,9.555259,-3.981557,-1.064784,0.030776,0.277787
2565,-1.663970,10.330980,-3.711013,-1.025614,0.026247,0.041835
2580,-1.649605,10.472238,-3.454833,-0.981515,-0.197982,-0.179995
2595,-1.862689,10.065224,-3.220201,-0.981781,-0.283783,-0.364787
2610,-2.229002,9.651027,-3.043030,-1.075176,-0.290444,-0.476835
2625,-1.956063,9.713276,-2.760514,-1.204677,-0.236352,-0.577557
2640,-1.704672,10.809820,-2.789245,-1.231590,-0.308297,-0.741565
2655,-1.534683,11.726800,-2.317587,-1.051194,-0.419412,-1.033208
2670,-1.714248,11.180922,-2.355894,-0.912767,-0.562502,-1.314992
2685,-2.118868,10.266336,-2.047042,-0.932485,-0.534790,-1.540686
2700,-2.238579,9.409212,-2.147599,-1.053593,-0.543317,-1.680979
2715,-2.679112,8.662222,-1.769315,-1.248377,-0.569430,-1.753723
2730,-2.844311,8.844181,-1.256956,-1.461280,-0.475369,-1.767845
2745,-3.059790,9.514558,-0.964863,-1.425308,-0.597942,-1.821937
2760,-3.392584,10.414777,-0.670376,-1.230923,-0.824968,-2.017254
2775,-3.303998,10.163386,-0.933739,-0.890118,-0.966992,-2.266397
2790,-3.742137,8.822633,-0.837971,-0.628585,-0.911435,-2.467976
2805,-4.400543,7.244854,-0.749385,-0.685608,-0.762482,-2.516205
2820,-5.085284,6.076484,-0.222661,-1.000966,-0.620858,-2.438798
2835,-4.747702,5.456386,-0.411803,-1.372015,-0.714119,-2.232023
2850,-6.493075,5.092467,0.670376,-1.759052,-0.502149,-1.994205
2865,-5.518635,5.913678,0.416591,-2.014323,-0.060221,-1.886288
2880,-6.174646,6.574478,1.015141,-1.930254,-0.154149,-1.876828
2895,-5.944803,6.584054,1.266533,-1.742132,0.010792,-1.919462
2910,-5.975927,6.380548,1.520318,-1.557473,0.033175,-1.957167
2925,-6.165069,5.858612,1.714248,-1.447158,0.081937,-1.990342
2940,-6.311116,5.930438,1.802834,-1.360291,0.040769,-2.010726
2955,-6.737284,5.635951,1.843535,-1.225594,0.014789,-2.059489
2970,-6.833052,5.497087,1.750161,-1.055991,0.042234,-2.093862
2985,-7.158663,5.082890,1.625663,-0.875196,0.030776,-2.116245
3000,-7.489063,4.197035,1.671153,-0.819505,0.074077,-2.095861
3015,-7.723694,3.790021,1.987187,-0.878260,0.108184,-2.046432
3030,-7.757214,3.318363,2.293645,-1.036406,0.182926,-1.973821
3045,-7.836222,3.165135,2.434903,-1.202678,0.159478,-1.885755
3060,-8.212111,3.660734,2.252944,-1.213603,0.143224,-1.838325
3075,-8.427589,3.643975,2.152387,-1.073977,0.119908,-1.849783
3090,-8.635885,3.256114,2.025495,-0.913567,0.115112,-1.858309
3105,-8.535329,2.489970,1.917755,-0.812577,0.109250,-1.811812
3120,-8.489840,1.458069,1.776498,-0.893182,0.098591,-1.729475
3135,-8.908824,0.962469,2.037466,-1.030410,0.067815,-1.601972
3150,-8.954314,0.653617,2.264915,-1.248243,0.273790,-1.460747
3165,-9.071630,0.363919,2.454057,-1.347901,0.057023,-1.290744
3180,-9.459491,0.785298,2.336741,-1.348433,0.235286,-1.176965
3195,-8.906430,1.271321,2.042254,-1.168571,0.162809,-1.127669
3210,-9.071630,1.173159,2.087744,-0.898645,0.227159,-1.136862
3225,-8.408436,0.993594,2.051831,-0.677747,0.140692,-1.114479
3240,-8.901642,0.004788,1.991976,-0.546914,0.145222,-1.051194
3255,-9.121908,-0.766145,2.276886,-0.599541,0.069680,-0.893315
3270,-9.334992,-1.067814,2.092532,-0.767279,0.152017,-0.667888
3285,-9.552865,-0.591368,2.109292,-0.807914,0.237285,-0.494954
3300,-9.265560,0.225055,2.035071,-0.706925,0.257136,-0.400893
3315,-9.339781,0.493206,1.980005,-0.488026,0.288579,-0.401426
3330,-9.112331,0.531513,2.073379,-0.300969,0.260734,-0.386371
3345,-9.150639,0.299275,2.063802,-0.142424,0.326017,-0.377044
3360,-9.004593,0.438139,2.205060,-0.067681,0.290577,-0.347867
3375,-9.461884,-0.009577,1.853112,0.051028,0.239683,-0.320288
3390,-9.366117,-0.313640,1.407791,0.104853,0.190254,-0.289378
3405,-9.653421,-0.706289,1.127669,0.053559,0.139893,-0.158279
3420,-9.370905,-0.964863,1.187524,-0.023582,0.148286,0.005995
3435,-9.483433,-0.845153,1.266533,-0.050894,0.095527,0.187190
3450,-9.188946,-0.100556,1.479617,0.013989,0.067282,0.274057
3465,-9.112331,0.268151,1.862689,0.213703,-0.026380,0.302568
3480,-9.083601,0.323217,1.932121,0.399560,-0.076608,0.302701
3495,-8.834604,0.351948,1.924938,0.556107,-0.121640,0.322020
3510,-9.112331,0.169988,1.920150,0.647104,-0.132832,0.360124
3525,-9.014170,0.270545,1.999158,0.673084,-0.123106,0.411551
3540,-9.030929,0.126893,1.963245,0.699730,-0.114179,0.473904
3555,-9.289502,-0.153229,1.958457,0.659495,-0.105786,0.571695
3570,-8.990228,-0.007183,2.109292,0.619392,-0.097925,0.685608
3585,-9.244013,0.356736,2.104503,0.710389,-0.111781,0.754355
3600,-9.449914,0.512359,2.118868,0.907305,-0.061153,0.779536
3615,-8.997410,0.399832,1.929726,1.092896,-0.093928,0.832562
3630,-8.887277,0.184354,1.900996,1.235853,-0.012923,0.923959
3645,-8.884882,0.119710,1.939303,1.334977,-0.014789,1.052394
3660,-8.875305,0.251391,1.819593,1.441429,0.011724,1.182028
3675,-8.896853,0.390255,1.807622,1.513507,0.023982,1.330181
3690,-8.990228,0.644040,2.068590,1.579057,0.068881,1.428772
3705,-8.966285,1.074997,2.135628,1.647537,0.089665,1.532426
3720,-8.875305,1.616086,2.001553,1.769444,0.104587,1.557873
3735,-8.762778,1.886631,1.766921,1.954902,0.139093,1.541219
3750,-8.238448,1.405396,1.644817,1.977152,0.195717,1.663525
3765,-8.245630,0.423774,1.352724,1.723479,0.281917,1.950106
3780,-8.384494,0.739808,0.950498,1.357227,0.407688,2.291577
3795,-8.190564,1.867477,0.624887,1.056524,0.599541,2.590282
3810,-7.682993,3.335123,0.639252,1.031210,0.679879,2.662893
3825,-7.431602,4.474763,0.818817,1.174300,0.733305,2.550712
3840,-7.082048,5.853823,1.127669,1.581988,0.628319,2.320222
3855,-6.823475,5.535394,1.326388,2.023649,0.583286,2.132499
3870,-6.404490,4.077325,0.629675,2.082138,0.522133,2.176066
3885,-6.119579,3.509900,-0.361524,1.727610,0.511608,2.373381
3900,-6.471527,3.787627,-1.046266,1.370017,0.579023,2.577758
3915,-6.495469,4.723760,-1.398214,1.022683,0.773940,2.756821
3930,-5.580884,6.670246,-1.053449,1.034274,0.877194,2.767080
3945,-5.154716,7.850587,-1.017536,1.454485,0.832828,2.577758
3960,-4.441244,7.161057,-1.398214,1.677115,0.779536,2.409220
3975,-4.438850,6.562507,-2.169147,1.246911,0.314159,2.715386
3990,-6.397307,7.082048,-0.440533,0.864671,2.941213,2.307432
4005,-0.873884,8.971073,-4.539406,0.111648,1.211205,2.343005
4020,-3.541024,10.091560,-2.726996,0.455917,0.478966,2.107718
4035,-3.019088,11.532869,-2.525883,0.864538,0.616861,1.706692
4050,-3.256114,11.125855,-1.915361,1.631683,0.375312,1.323386
4065,-3.313575,9.356540,-2.027889,2.053093,0.286847,1.155515
4080,-3.627216,6.488286,-2.645593,1.836859,0.308830,1.225328
4095,-3.485958,5.116409,-3.189077,1.025881,0.573694,1.296740
4110,-3.193865,5.216965,-3.926491,0.182127,0.782600,1.571463
4125,-2.439692,6.746861,-4.209006,-0.547181,0.718383,1.740400
4140,-1.458069,9.229648,-3.895366,-0.549979,0.652966,1.578524
4155,-1.956063,11.956643,-2.892196,-0.014389,0.808847,1.169371
4170,-0.790087,12.129025,-3.459621,0.971789,0.644306,0.704527
4185,-1.594538,9.572019,-3.301604,1.559871,-0.072345,0.444992
4200,-2.432509,7.070077,-3.725378,1.395331,0.073277,0.324551
4215,-2.118868,6.200982,-4.608838,0.749426,0.449389,0.232089
4230,-2.437297,6.095637,-4.395754,0.286580,0.313760,0.393965
4245,-1.853112,7.005434,-4.462792,-0.107118,0.344136,0.492289
4260,-2.185906,7.560889,-4.314352,-0.479766,0.314159,0.480832
4275,-1.912967,8.037335,-4.264073,-0.662426,0.238351,0.475502
4290,-1.912967,8.520964,-4.098873,-0.739567,0.157346,0.436865
4305,-1.776498,9.026140,-3.983952,-0.696400,0.090864,0.343737
4320,-1.716643,9.785102,-4.036624,-0.572228,-0.000400,0.194118
4335,-1.546654,10.247183,-4.079720,-0.282051,-0.175865,-0.032908
4350,-1.592144,10.007763,-4.091691,-0.121640,-0.257270,-0.268994
4365,-1.891419,9.241618,-4.039018,-0.155081,-0.315758,-0.443260
4380,-1.987187,8.614338,-4.046201,-0.376511,-0.354129,-0.525597
4395,-2.138022,8.293514,-3.962404,-0.695334,-0.364254,-0.565034
4410,-2.159570,8.401254,-3.794810,-1.049462,-0.384905,-0.603271
4425,-1.647211,8.959103,-3.414132,-1.333645,-0.499351,-0.700796
4440,-1.841141,9.447519,-3.112462,-1.535623,-0.491090,-0.876795
4455,-2.087744,10.175357,-3.011906,-1.559738,-0.729707,-1.047597
4470,-1.568202,10.462661,-2.992752,-1.573461,-0.787397,-1.291277
4485,-2.308010,10.352528,-2.580949,-1.476469,-0.769544,-1.537755
4500,-2.449268,9.983821,-2.272097,-1.346302,-0.700796,-1.730541
4515,-3.452439,9.047688,-1.587356,-1.325384,-0.617394,-1.813810
4530,-3.414132,8.585608,-1.218649,-1.369084,-0.718516,-1.777571
4545,-3.459621,8.334216,-0.632069,-1.554942,-0.761017,-1.750659
4560,-3.665523,8.568848,-0.821211,-1.711622,-1.044133,-1.793825
4575,-4.113238,8.690952,-0.632069,-1.657796,-1.090631,-1.901077
4590,-4.616021,8.288726,-0.667982,-1.386804,-0.918896,-1.980482
4605,-4.350265,7.951144,-0.577003,-1.317391,-0.830963,-2.082271
4620,-4.977545,6.840234,0.038307,-1.376145,-0.745829,-2.014190
4635,-4.460398,6.627150,0.270545,-1.633681,-0.215568,-1.982481
4650,-4.934450,6.955156,0.569820,-1.779170,-0.244080,-1.963562
4665,-5.370194,7.347805,0.840365,-1.692303,-0.125237,-2.014057
4680,-5.691017,7.359776,1.221043,-1.422510,-0.094994,-2.097726
4695,-5.944803,6.682217,1.352724,-1.150452,-0.070213,-2.169937
4710,-6.184223,6.086061,1.192312,-0.987910,0.087400,-2.203112
4725,-6.399701,5.353435,1.058237,-0.889851,0.148819,-2.214703
4740,-6.416461,5.087678,1.407791,-0.890384,0.306432,-2.217368
4755,-6.519411,4.367024,1.484405,-0.994971,0.186257,-2.145156
4770,-7.146692,4.199430,1.515530,-1.146855,0.143090,-2.039904
4785,-7.474698,4.417302,1.338359,-1.125138,0.149485,-1.966093
4800,-7.400477,4.599261,1.158794,-0.963129,0.150418,-1.942645
4815,-7.965509,3.787627,1.302446,-0.761017,0.187723,-1.925325
4830,-7.996634,3.430891,1.484405,-0.653499,0.303234,-1.842854
4845,-7.994239,3.007117,1.558625,-0.581954,0.213436,-1.755988
4860,-8.056489,2.719813,1.551443,-0.574626,0.136029,-1.654998
4875,-7.915231,2.406173,1.326388,-0.677214,0.031576,-1.518037
4890,-8.152257,1.965640,1.108515,-0.846551,-0.111515,-1.343237
4905,-9.050082,1.776498,0.916979,-1.049063,0.030776,-1.158845
4920,-8.645462,1.616086,1.168370,-1.258103,-0.027312,-1.001632
4935,-9.172187,1.728614,1.570596,-1.455551,0.031176,-0.856810
4950,-8.923189,1.939303,2.032677,-1.604637,0.033841,-0.748626
4965,-8.880094,1.994370,2.406173,-1.644606,-0.036239,-0.648836
