T,AX,AY,AZ,GX,GY,GZ
46,-11340,1312,-12184,16981,6299,-26833
73,-11484,-56,-9652,20004,14122,-32768
100,-10692,-3360,-10004,20788,7219,-32768
127,-8844,-9780,-9680,13923,7118,-32768
154,-5836,-9428,-9664,2648,9249,-32768
181,-3456,-5480,-9092,-4542,9513,-29683
208,-1856,-2508,-8868,-7377,9385,-26653
235,652,-880,-8908,-7939,9835,-23800
262,1268,-868,-9204,-8554,6983,-21513
289,1368,-652,-9620,-9959,5667,-18826
316,2196,436,-9560,-11047,4653,-16217
343,1920,1968,-10360,-11006,3648,-14469
370,124,4228,-10460,-8247,4470,-13922
397,1456,3520,-11924,-6538,2166,-13149
424,1532,4168,-11944,-5104,2177,-11989
451,1984,4960,-12316,-3495,1840,-10638
478,1732,4116,-11796,-1719,1116,-8921
505,2136,2304,-11608,-2257,1795,-6503
532,2484,3188,-12284,-2704,2405,-5385
559,2876,3192,-11924,-345,812,-5678
586,2596,2032,-11944,219,418,-4905
613,2304,1112,-11844,-1153,871,-3441
640,2532,1472,-11888,-3183,1184,-1436
667,2932,3196,-12100,-2400,1202,-1186
694,2696,2476,-12100,-623,1002,-1690
721,2568,876,-12176,-842,1030,-1582
748,3240,1432,-12484,-1829,1321,-908
775,3472,2816,-12432,-1988,1056,-336
802,3172,2916,-12264,-1550,377,192
829,3488,2804,-11960,-527,705,144
856,3520,1640,-11732,-223,160,-306
883,2848,1516,-12368,-559,-158,-486
910,2648,1300,-13052,-1098,97,40
937,3064,2104,-12580,-1333,1029,629
964,3804,2680,-11880,-1198,783,863
991,3636,2624,-12028,260,406,7
1018,3732,1928,-12120,622,115,-167
1045,3556,1588,-12016,644,-2,-180
1072,2856,1592,-12544,-81,204,412
1099,3084,2388,-12552,-237,430,829
1126,3540,2868,-12348,335,374,938
1153,3588,2680,-12112,331,288,1699
1180,3192,2904,-12076,-46,503,2986
1207,3924,4260,-12476,-72,202,4627
1234,4400,3576,-11808,-1339,33,6979
1261,4496,5328,-11880,14,-1172,7716
1288,4444,5136,-11868,2154,-2253,8162
1315,3904,4188,-11644,2901,-2526,9780
