T,AX,AY,AZ,GX,GY,GZ
46,-7220,3984,-10044,2,873,282
73,-7624,3992,-10128,62,390,371
100,-7592,4220,-10072,232,457,205
127,-7088,3808,-10324,-29,294,267
154,-7532,4052,-9824,68,220,298
181,-7476,3968,-9744,17,-119,373
208,-7412,4124,-10092,79,47,191
235,-7444,4192,-11092,-190,-292,-141
262,-8908,4420,-11180,83,-604,-869
289,-10084,3984,-10880,1862,-1825,-1597
316,-17492,264,-14580,2959,3134,-4164
343,-16460,-2348,-12444,834,8014,-7294
370,-15628,-3032,-13208,-5101,14071,-6083
397,-12792,1648,-12424,-6297,16425,-8769
424,-11456,2448,-11364,-4173,16770,-12843
451,-10264,2456,-10940,-3092,16655,-15646
478,-7836,3176,-10452,-3483,18121,-16278
505,-4660,3904,-9208,-3792,18274,-15945
532,-3364,3556,-8628,-4813,17385,-15439
559,-1692,4328,-8300,-5475,16151,-14665
586,-1092,5200,-8508,-5396,15193,-14019
613,-704,3576,-8964,-5639,14747,-13133
640,680,5360,-9488,-5310,14502,-13525
667,2016,6156,-9352,-4164,12920,-13991
694,2268,6344,-9404,-4183,12212,-12736
721,2716,6772,-9580,-4627,11905,-11263
748,3808,8052,-9012,-3131,11336,-11108
775,4456,8484,-8828,-1835,9419,-10224
802,4560,8560,-8908,-999,7972,-9276
829,4644,7848,-9228,-429,7277,-7852
856,4580,7924,-9288,-639,6223,-6337
883,4160,7984,-9484,157,5243,-5543
910,4136,6544,-9816,-200,4113,-4660
937,3928,7892,-11212,793,4204,-3552
964,4772,6300,-8572,-1240,1962,112
991,4860,7200,-8296,-2553,669,1108
1018,4684,7952,-9864,532,-503,-210
1045,3520,5412,-10868,1403,-626,-613
1072,3128,4708,-11676,713,-205,-98
1099,3444,5672,-11720,402,231,337
1126,4096,6328,-11232,1022,326,231
1153,4292,6420,-10812,1239,-116,207
1180,4424,6540,-10980,1063,-332,720
1207,4264,6720,-11160,1380,-420,1014
1234,4512,6628,-11020,1234,-651,2048
1261,5428,6452,-10752,1322,-1373,3015
1288,5588,6392,-10044,778,-1986,4760
1315,5104,7044,-9640,158,-3451,6689
1342,5232,8016,-9896,894,-4140,7682
1369,5036,7896,-9800,2592,-5773,8235
1396,4660,6772,-9908,3237,-6993,9483
1423,4428,6216,-9572,2592,-8190,11394
1450,3712,6792,-9972,2494,-8952,12725
1477,2736,5784,-10020,2962,-10277,13650
1504,1928,5432,-10192,2935,-11078,14535
1531,1296,4932,-10160,4222,-12286,14479
1558,616,2984,-9948,4957,-13553,13842
1585,-296,1504,-9332,3581,-13875,13943
1612,-1216,2232,-9236,1441,-16012,14872
1639,-2380,2552,-10180,165,-14682,14927
1666,-2888,3072,-10384,1166,-15542,13778
1693,-3424,2136,-9600,1985,-16763,13048
1720,-6924,1332,-10036,1107,-17186,13050
1747,-9032,-156,-10716,787,-15288,10983
1774,-8368,564,-11016,-908,-14274,10138
1801,-9156,2296,-11556,-2624,-12937,10577
1828,-10668,4044,-11656,-2726,-10723,10047
1855,-10968,4380,-12192,2107,-9851,6058
1882,-11480,1492,-11648,3272,-8857,3834
1909,-11328,924,-10768,545,-5479,3410
1936,-23068,2780,-18444,-4743,671,3718
1963,-6620,3268,-10944,3405,1139,-2333
1990,-6328,-412,-9848,3378,-207,-3265
2017,-6676,312,-9040,-3976,929,716
2044,-7176,5284,-10212,-5528,1317,1904
2071,-6940,7712,-10492,-1877,546,414
