T,AX,AY,AZ,GX,GY,GZ
46,0.586579,-9.612720,0.234632,-0.032375,0.011458,0.003864
61,0.557849,-9.665392,0.217872,-0.036772,0.016654,0.002931
76,0.608127,-9.658210,0.148441,-0.043034,0.019985,0.000933
91,0.656011,-9.648633,0.196325,-0.040502,0.013856,-0.002398
106,0.560243,-9.574412,0.150835,-0.038637,0.018786,-0.000666
121,0.524330,-9.543288,0.162806,-0.028378,0.010259,-0.000400
136,0.653617,-9.583989,0.143652,-0.027712,0.018519,-0.001599
151,0.739808,-9.560047,0.181959,-0.023715,0.012391,-0.001332
166,0.598550,-9.574412,0.162806,-0.022383,0.018253,-0.000666
181,0.555455,-9.651027,0.186748,-0.023449,0.016121,0.003464
196,0.620098,-9.583989,0.232238,-0.035040,0.012790,0.009459
211,0.691924,-9.593566,0.143652,-0.052227,0.012524,0.015455
226,0.641646,-9.634268,0.086191,-0.051560,0.011991,0.012524
241,0.464475,-9.598354,0.090980,-0.041302,0.016654,0.009326
256,0.562637,-9.581595,0.208296,-0.019851,0.017187,0.002531
271,0.646434,-9.641450,0.368707,-0.018519,0.023582,-0.006795
286,0.634463,-9.753978,0.248997,-0.031709,0.021717,-0.004663
301,0.600945,-9.677363,0.191536,-0.049429,0.017853,-0.003864
316,0.572214,-9.610326,0.136469,-0.058089,0.014655,0.000666
331,0.610521,-9.466673,0.071826,-0.042234,0.015721,0.001998
346,0.610521,-9.461884,0.129287,-0.017187,0.016254,0.003597
361,0.517148,-9.593566,0.155623,-0.007727,0.014922,0.000000
376,0.567426,-9.718064,0.253785,-0.017320,0.017720,-0.000933
391,0.665588,-9.701305,0.196325,-0.036639,0.010525,0.004263
406,0.725443,-9.603143,0.215478,-0.045965,0.012923,0.006662
421,0.596156,-9.579201,0.234632,-0.048230,0.007594,0.006795
436,0.490811,-9.653421,0.258574,-0.036905,0.014655,0.005462
451,0.519542,-9.591172,0.201113,-0.023582,0.015988,0.000266
466,0.658405,-9.634268,0.143652,-0.026779,0.015721,-0.001732
481,0.644040,-9.732430,0.246603,-0.040236,0.019718,0.000000
496,0.541090,-9.619903,0.220267,-0.049296,0.014655,0.001466
511,0.603339,-9.648633,0.237026,-0.051161,0.011858,0.009060
526,0.725443,-9.581595,0.167594,-0.048896,0.006395,0.011724
541,0.682347,-9.564836,0.124498,-0.043433,0.006528,0.016254
556,0.584185,-9.686940,0.169988,-0.050361,-0.007594,0.022516
571,0.541090,-9.842563,0.258574,-0.066216,-0.003331,0.030643
586,0.711078,-9.665392,0.201113,-0.082603,-0.008127,0.039303
601,0.725443,-9.509769,0.035913,-0.075276,-0.000533,0.051694
616,0.457293,-9.102755,-0.126893,0.013190,-0.001466,0.043300
631,0.258574,-9.040505,-0.359130,0.151084,0.013590,0.010525
646,0.395043,-9.236830,-0.165200,0.286714,0.036372,-0.017054
661,0.574608,-9.476250,0.167594,0.354795,0.059155,-0.028511
676,0.624887,-9.768343,0.380678,0.359325,0.068881,-0.030776
691,0.572214,-9.888053,0.620098,0.299904,0.076342,-0.032508
706,0.694318,-10.098742,0.720655,0.205309,0.059288,-0.018786
721,0.761356,-10.170568,0.809240,0.093262,0.040769,-0.002798
736,0.830788,-10.168175,0.864307,-0.019319,0.023715,0.009992
751,0.711078,-9.988609,0.689530,-0.106052,0.003864,0.030110
766,0.758962,-9.852139,0.560243,-0.153482,0.006528,0.049695
781,0.627281,-9.715671,0.265756,-0.159345,0.007061,0.058888
796,0.426168,-9.660604,0.222661,-0.114579,0.020118,0.057689
811,0.438139,-9.473856,0.150835,-0.042900,0.025580,0.039570
826,0.488417,-8.904036,0.272939,0.156413,0.010259,-0.001599
841,0.318429,-9.236830,0.466869,0.348400,-0.007727,-0.034907
856,0.258574,-9.928754,0.608127,0.434201,0.001732,-0.084069
871,0.203507,-10.390835,0.802058,0.408487,0.026913,-0.120175
886,0.337582,-10.989386,0.852336,0.281651,0.025181,-0.147887
901,0.497994,-11.243171,0.768539,0.256204,-0.015588,-0.257136
916,0.299275,-11.441890,1.055843,0.255538,-0.026113,-0.387170
931,0.457293,-11.238382,0.993594,0.266596,-0.097259,-0.545315
946,0.773327,-11.027693,1.137246,0.317490,-0.103920,-0.690138
961,1.201889,-11.051635,1.134852,0.340672,-0.253539,-0.769144
976,1.151611,-11.166556,1.314417,0.361323,-0.280718,-0.815775
991,1.177947,-11.427525,1.434127,0.382107,-0.335609,-0.877461
1006,1.364695,-11.504139,1.419762,0.311761,-0.392899,-0.933818
1021,1.534683,-11.690886,1.563414,0.225161,-0.455917,-0.984845
1036,1.446098,-11.899182,1.697489,0.112047,-0.512807,-1.040269
1051,1.422156,-11.767501,1.833959,0.024248,-0.542118,-1.083037
1066,1.606509,-11.690886,2.154782,0.136695,-0.134830,-1.201346
1081,1.369483,-11.525687,2.264915,0.086600,-0.500150,-1.310995
1096,3.078943,-12.047623,1.206678,-0.009726,-0.899311,-1.361090
1111,1.661576,-11.954248,2.688689,-0.055824,-0.741832,-1.496853
1126,2.011129,-11.899182,2.161964,-0.152417,-0.766346,-1.608234
1141,2.286463,-11.853692,2.758120,-0.143623,-0.675616,-1.674184
1156,1.043872,-11.303026,3.895366,-0.258602,-0.783533,-1.693103
1171,3.009511,-11.166556,2.291251,-0.458982,-0.972055,-1.868835
1186,2.018312,-10.896011,2.458845,-0.587816,-0.960464,-1.891484
1201,3.670311,-10.347739,1.900996,-0.664824,-1.050795,-1.923859
1216,3.057395,-10.062830,2.018312,-0.788329,-1.209473,-1.904008
1231,3.538630,-9.282320,1.673547,-0.894648,-1.240383,-1.894015
1246,3.670311,-8.738836,1.414973,-0.940746,-1.369218,-1.858709
1261,3.596091,-8.336610,1.134852,-0.920628,-1.401992,-1.825401
1276,4.113238,-8.037335,0.921768,-0.921827,-1.409720,-1.779436
1291,4.041412,-8.121132,0.689530,-0.933551,-1.509643,-1.746662
1306,4.019865,-7.896077,0.263362,-1.024282,-1.501383,-1.683643
1321,4.206612,-7.235278,-0.131681,-1.023216,-1.562003,-1.656597
1336,4.278439,-7.005434,-0.553061,-1.013090,-1.577591,-1.614496
1351,4.158728,-6.833052,-0.773327,-1.015755,-1.518969,-1.546948
1366,4.228160,-6.600814,-1.173159,-1.009626,-1.476868,-1.535623
1381,3.897760,-6.627150,-1.584962,-1.016821,-1.398395,-1.498585
1396,4.173093,-6.270414,-1.788469,-0.966193,-1.294475,-1.510176
1411,4.582502,-5.923255,-2.243367,-0.910636,-1.319655,-1.511109
1426,4.711789,-5.657498,-2.525883,-0.809913,-1.317524,-1.518436
1441,4.390966,-5.913678,-2.389413,-0.732372,-1.291943,-1.494455
1456,4.402937,-6.054936,-2.523489,-0.721980,-1.213470,-1.472072
