T,AX,AY,AZ,GX,GY,GZ
46,-9.016563,-0.945710,-2.621651,0.683476,-0.236752,0.541985
61,-8.990228,-1.194707,-2.343923,0.969790,-0.267262,0.799521
76,-8.698134,-1.297657,-2.387019,1.182960,-0.269926,1.097825
91,-8.137892,-0.907402,-2.365471,1.387737,-0.278453,1.347368
106,-8.022970,-0.677559,-2.274492,1.643940,-0.394231,1.555341
121,-8.013393,-0.466869,-1.889025,1.904940,-0.417813,1.713487
136,-8.054094,-0.457293,-1.565808,2.095195,-0.371182,1.899878
151,-8.034941,-0.490811,-1.477222,2.176199,-0.352796,2.091464
166,-7.841011,-0.222661,-1.489193,2.187124,-0.279919,2.279986
181,-7.716512,0.160412,-1.584962,2.187524,-0.255804,2.413084
196,-7.654263,0.509965,-1.467646,2.193786,-0.164674,2.531793
211,-7.343017,0.778116,-1.491588,2.137829,-0.035972,2.656764
226,-6.912060,0.842759,-1.455675,1.996603,0.087400,2.789862
241,-6.801927,1.125275,-1.584962,1.795158,0.202511,2.916032
256,-6.737284,1.467646,-1.831564,1.518436,0.337475,3.054326
271,-6.464345,1.903390,-2.066196,1.142724,0.518936,3.203945
286,-5.772420,2.473210,-2.039860,0.751424,0.711322,3.353164
301,-5.652710,3.696647,-2.523489,0.462046,0.769144,3.425375
316,-4.826711,5.887342,-2.715025,0.516671,0.882657,3.277622
331,-3.998317,7.362170,-3.066972,0.814709,0.750492,3.055125
346,-3.780444,7.915231,-3.418920,1.196816,0.636179,2.777871
361,-3.761291,7.493851,-3.347094,1.401459,0.524265,2.544717
376,-4.465186,7.084443,-3.679888,1.593845,0.490691,2.312628
391,-3.763685,6.598420,-3.722984,1.527230,0.589815,2.154482
406,-3.840299,6.543353,-3.902549,1.492989,0.500283,2.025381
421,-3.799598,6.330269,-4.129998,1.478067,0.514539,1.917464
436,-3.983952,6.215347,-3.938462,1.376545,0.504014,1.844720
451,-2.049437,5.664681,-5.585672,1.445825,0.257669,1.823536
466,-4.134786,5.183446,-5.121197,1.371482,0.259934,1.866969
