T,AX,AY,AZ,GX,GY,GZ
46,2584,4112,-12232,-363,143,428
73,2960,4512,-12016,309,64,375
100,3324,4456,-11764,509,-12,863
127,3748,5140,-11448,394,-181,1577
154,3980,5724,-11304,903,-960,2632
181,4536,5900,-10636,930,-2072,4225
208,4396,6244,-10588,944,-2469,5762
235,4180,6200,-10480,1627,-3870,7116
262,3696,6072,-10408,2230,-4854,8505
289,3500,5616,-10532,2953,-5983,9727
316,2964,4744,-10616,3027,-7102,11004
343,2232,4396,-10776,3109,-8057,12002
370,1688,4172,-10952,3445,-8798,12564
397,1232,4456,-10788,5640,-9735,11949
424,56,2276,-10728,7303,-10795,11448
451,-428,472,-10848,5865,-11475,12118
478,-2112,-656,-10780,3729,-11360,13154
505,-2864,-212,-10972,1485,-10789,13488
532,-3264,272,-11324,3041,-11450,11405
559,-4332,-632,-11376,3955,-11520,9942
586,-5076,-1088,-11772,3718,-11432,9175
613,-6404,-2272,-11936,2057,-10084,9436
640,-6260,-144,-12104,972,-8627,9251
667,-7104,56,-12292,3846,-8683,6776
694,-8052,-2256,-12168,4275,-7772,5280
721,-8600,-2884,-12148,1647,-5803,5262
748,-7692,-1012,-12024,1284,-4672,4142
775,-7380,-848,-11612,2635,-4349,2353
802,-7628,-1812,-11468,2060,-4015,1942
829,-7708,-964,-11384,818,-3221,2085
856,-7288,76,-11380,1143,-2984,1484
883,-7868,-912,-11044,1082,-2414,1123
910,-7928,-912,-10996,205,-1996,1173
937,-7644,-172,-11084,461,-1680,575
964,-8180,-1344,-11212,513,-1962,260
991,-9196,-644,-11924,-1018,284,835
1018,-7784,652,-11828,768,628,-394
1045,-6836,-552,-10604,1366,66,-724
1072,-7008,-1012,-10116,-397,-142,358
1099,-7396,-388,-10404,-1381,-153,729
1126,-7632,272,-10580,-1052,-15,506
1153,-7824,384,-10520,-194,56,9
1180,-7920,-472,-10832,178,237,-263
1207,-8728,-524,-11284,24,1162,-614
1234,-10036,-1416,-11668,860,2044,-1985
1261,-10284,-2276,-12096,60,4686,-2829
1288,-9348,-2472,-11940,69,6134,-4140
1315,-8580,-2612,-11816,-567,6881,-5229
1342,-7280,-2340,-11540,-1035,6876,-6140
1369,-6704,-2116,-11712,-1558,7000,-6852
1396,-6756,-2184,-11600,-2910,7570,-6921
1423,-5524,-1088,-11596,-3262,7745,-7295
1450,-4592,-608,-11752,-2964,7112,-7620
1477,-4604,-1392,-11772,-3662,7771,-7635
1504,-3996,-692,-12044,-4331,7956,-7427
1531,-3500,-360,-11732,-4356,7948,-7470
1558,-3456,-700,-11812,-4460,8111,-7858
1585,-2804,-340,-12220,-4526,8384,-8042
1612,-2112,-356,-12048,-4057,8199,-8646
1639,-1392,-196,-11884,-4091,7940,-9116
1666,-992,352,-11756,-4960,8092,-8702
1693,-516,760,-11500,-5673,7951,-8133
1720,424,2216,-11564,-5376,7881,-8172
1747,816,2420,-11480,-4223,7234,-8515
1774,464,1660,-11216,-4713,6881,-7756
1801,1288,2408,-11344,-5106,6918,-7552
1828,1864,3436,-11544,-4333,6234,-7810
1855,1972,3444,-11760,-3132,5529,-8011
1882,2404,3476,-11640,-3132,5233,-7602
1909,2760,4036,-11456,-3091,4501,-7183
1936,2800,5188,-11424,-2178,3478,-7106
1963,2936,4408,-11528,-1722,3254,-6447
1990,3348,4544,-11580,-1973,2667,-5413
2017,2804,5024,-11620,-1751,2127,-4758
2044,2872,4544,-11604,-1218,1931,-4089
2071,3212,4408,-12032,-1041,1836,-3409
2098,2736,4044,-11672,-833,1798,-2917
2125,2840,4268,-11656,-850,1833,-2591
2152,3600,4064,-11604,-490,1545,-2395
2179,3652,4284,-10828,-1458,665,-1024
2206,3608,5408,-11032,-1694,359,-196
2233,3384,5544,-11336,41,38,-450
2260,2700,4048,-11940,283,134,-120
2287,2488,3404,-12148,-67,337,144
2314,2680,3396,-12180,182,197,-197
2341,2872,3256,-12036,221,65,-531
2368,2876,3620,-11804,-360,245,-268
2395,3080,4328,-11872,-230,62,-209
2422,3196,4652,-11916,-96,-73,15
2449,2776,4548,-11880,-149,-54,465
2476,3020,4644,-11780,545,-149,564
2503,3292,4412,-11492,615,-494,1019
2530,3360,4896,-11236,641,-970,1699
2557,4220,5488,-10960,805,-1920,2790
2584,3960,5984,-10736,786,-2365,4111
2611,3936,6196,-10652,1356,-3186,5505
2638,3456,5976,-10640,1584,-4163,7224
2665,3032,5884,-10800,1734,-4753,8748
2692,2620,5936,-11176,2935,-5928,9482
2719,1836,4748,-11348,4092,-6780,9986
2746,1612,4212,-11544,4582,-7277,10589
2773,1508,4096,-11320,5186,-7837,10951
2800,736,3200,-10980,5610,-8393,11413
2827,144,2904,-10736,6041,-8955,11743
2854,-28,1796,-10440,7080,-9944,11368
2881,-1380,-152,-10448,6532,-10642,11480
2908,-2680,-600,-10864,5317,-10776,11704
2935,-3496,-620,-11348,5292,-10911,11113
2962,-3960,-904,-11232,5657,-10657,10283
2989,-4752,-1588,-11164,5228,-10438,9998
3016,-6092,-2320,-11504,3669,-9700,10266
3043,-6984,-1400,-11628,3286,-8924,9422
3070,-7192,-2508,-11660,4508,-8331,7329
3097,-7300,-3476,-11636,3441,-7880,6636
3124,-7464,-2064,-11660,2255,-6566,6439
3151,-8040,-2284,-11728,3656,-6130,4583
3178,-8064,-3336,-11552,3760,-5968,3222
3205,-7840,-3524,-11228,2293,-5412,2874
3232,-8072,-3092,-10992,640,-4788,2818
3259,-8104,-2560,-10960,68,-4329,2212
3286,-9520,-2288,-13652,-751,-845,1410
3313,-9932,-1296,-13564,2205,896,-821
3340,-7200,-2252,-11728,3602,110,-2188
3367,-7740,-3560,-10848,780,437,-960
3394,-8652,-2388,-11156,-1355,1114,-398
3421,-10224,-2840,-11440,-474,2080,-2204
3448,-9584,-3168,-11392,-885,3953,-3293
3475,-8908,-3312,-11572,-1306,5116,-4320
3502,-8364,-3116,-11380,-1211,5779,-5479
3529,-7000,-2776,-11360,-1416,6185,-6447
3556,-6388,-3184,-10840,-2293,6285,-6479
3583,-6692,-2872,-10948,-3884,6561,-6033
3610,-5492,-1760,-11172,-3696,6397,-6724
3637,-5060,-2048,-11280,-3699,5993,-6902
3664,-5576,-2192,-11880,-4091,6428,-6976
3691,-5520,-2412,-11996,-4660,7317,-7062
3718,-4028,-1460,-12116,-4440,7494,-7617
3745,-3660,-1496,-12008,-4518,7994,-8025
3772,-3028,-1712,-11764,-5013,7709,-8104
3799,-2436,-1012,-11816,-5889,7901,-7933
3826,-1912,-280,-11908,-5889,8245,-8123
3853,-1508,-512,-11988,-5949,8067,-8261
3880,-828,352,-11876,-6197,7663,-8097
3907,-620,288,-11932,-6375,7980,-8234
3934,-420,964,-12120,-6403,7833,-8496
3961,652,1888,-11652,-6053,7951,-8675
3988,1048,2100,-11444,-5810,7530,-8521
4015,1420,2908,-11380,-5477,7697,-8463
4042,2292,3696,-11300,-4352,6884,-8603
4069,2912,4396,-11108,-3078,5913,-8512
4096,3304,4724,-11092,-2137,5148,-8049
4123,3440,4408,-10928,-1821,4025,-7223
4150,3372,4336,-10928,-2141,3333,-6126
4177,3212,4900,-11236,-2109,2799,-5133
4204,2976,5248,-11444,-936,2562,-4676
4231,3036,4596,-11396,-233,1936,-3854
4258,3432,4192,-11268,-592,1243,-2656
4285,3152,4264,-11664,-785,1288,-1869
4312,3360,4256,-11648,-420,641,-1366
4339,3436,3624,-11460,-525,316,-542
4366,3240,4408,-11748,-1051,139,36
4393,2920,4432,-12132,-419,74,74
4420,2796,3276,-12276,212,137,-263
4447,2940,2872,-12228,-616,252,86
4474,3148,3616,-12168,-553,300,-139
4501,2904,3460,-11688,-171,315,-313
4528,3128,3380,-11808,-436,129,-141
4555,3096,4008,-11952,-553,131,26
4582,2740,3900,-12116,-98,236,-49
4609,3176,3532,-11920,-123,288,142
4636,3480,4220,-11772,64,109,235
4663,3196,4312,-11808,382,-168,526
4690,3316,4184,-11540,406,-407,1139
4717,3532,4384,-11532,495,-526,1643
4744,4528,5836,-11472,753,-1822,2662
4771,3748,5196,-11352,952,-1777,3735
4798,3688,5660,-10944,1721,-2395,4946
4825,3600,5512,-10964,2097,-3335,6302
4852,3232,4732,-10912,2363,-4062,7645
4879,2960,4792,-10888,2682,-4633,8593
4906,2872,4300,-10848,3557,-5476,9031
4933,2504,3524,-11120,4084,-6290,9447
4960,1948,3368,-11312,4083,-7062,10100
4987,1464,3196,-11332,4347,-7933,10886
5014,392,2596,-11628,4118,-7681,11943
5041,212,2932,-12096,5498,-8255,11369
5068,-216,1708,-11340,6914,-8884,10667
5095,-1244,-32,-11060,5985,-9122,11742
5122,-2604,-1464,-10852,2658,-8406,13509
5149,-2340,28,-11240,2461,-9349,12750
5176,-2940,-232,-11080,3839,-10149,11414
5203,-4396,-644,-11232,3968,-9932,11046
5230,-5048,-1064,-11568,4970,-9478,9764
5257,-5484,-2268,-11464,4921,-9479,9042
5284,-6356,-2760,-11548,3247,-8311,9337
5311,-7124,-3024,-11432,1729,-7637,9201
5338,-7524,-2312,-11900,2380,-6904,7140
5365,-8204,-3548,-11876,3160,-6446,4819
5392,-8620,-3616,-12196,1517,-5151,4258
5419,-7736,-1940,-12132,915,-4228,3612
5446,-7876,-1728,-12048,1698,-3608,2308
5473,-7936,-2356,-11584,1401,-3033,1758
5500,-7744,-2008,-11272,476,-2547,1825
5527,-9404,-492,-12404,276,387,821
5554,-8060,-1456,-12488,1583,91,-429
5581,-6808,-2884,-11420,1075,137,-522
5608,-6540,-2616,-10704,-1122,197,416
5635,-6788,-1524,-10572,-1996,-168,442
5662,-7016,-172,-10924,-2167,-249,490
5689,-6844,684,-11072,-1416,-488,511
5716,-7468,-64,-11092,-172,-458,189
5743,-7048,-888,-10752,270,-444,-53
5770,-6968,-1020,-10812,-125,-182,134
5797,-7428,-860,-10712,219,63,-194
5824,-7724,-1272,-10788,764,243,-708
5851,-8352,-1640,-10984,299,665,-584
5878,-9320,-2032,-11336,426,1404,-1507
5905,-10728,-3144,-12104,-791,3722,-2273
5932,-9616,-2416,-12488,-82,5335,-4213
5959,-8608,-3764,-12220,62,5692,-5803
5986,-8616,-4596,-12448,-1675,6370,-6639
6013,-8384,-4104,-12120,-3645,7274,-7092
6040,-7072,-2064,-12128,-4047,8631,-8208
6067,-5788,-2676,-11760,-3365,9131,-9556
6094,-5268,-3176,-11484,-4620,9012,-9629
6121,-4796,-2212,-11452,-6549,9431,-9144
6148,-3712,-696,-11496,-6242,9855,-9754
6175,-2480,-292,-11196,-5185,9583,-10789
6202,-1688,-396,-10888,-5455,9320,-10709
6229,-1016,-192,-11004,-6212,8951,-10217
6256,-924,604,-10844,-6842,8995,-9791
6283,-264,1672,-10788,-6521,8987,-9659
6310,564,2804,-11000,-5156,8119,-9742
6337,580,1636,-11048,-4691,7581,-9515
6364,1204,2340,-11096,-5601,7191,-8545
6391,1472,3440,-11520,-4701,6745,-8333
6418,1948,3560,-11500,-3497,6359,-8216
6445,2680,3468,-11492,-2830,5425,-7930
6472,2732,3864,-11644,-2575,4781,-7417
6499,3112,4276,-11788,-1579,4512,-7182
6526,3268,4240,-11636,-893,3515,-6674
6553,2980,3832,-11620,-1474,3355,-5613
6580,2868,4356,-11456,-1664,3129,-4536
6607,2548,4656,-11700,-1348,2856,-3516
6634,2932,4740,-11572,-627,2752,-2963
6661,3324,4236,-11604,431,2107,-2718
6688,4424,3480,-11200,924,520,-2075
6715,4168,2896,-10780,-1438,-17,-132
6742,3696,5092,-11404,-1255,-649,-195
6769,3008,3976,-12068,1150,-1173,-1213
6796,2508,2324,-12484,51,-742,-372
6823,2264,3136,-12556,-836,-139,125
6850,2912,3828,-11932,-850,238,483
6877,3544,4804,-11032,-58,-122,951
6904,4288,5748,-10576,1121,-1201,1386
6931,4236,5952,-10272,1759,-2494,3042
6958,4552,6360,-10088,2278,-3966,5220
6985,4252,6264,-10276,2592,-5308,7482
7012,3476,5892,-10788,3264,-6658,9135
7039,2428,4876,-11272,3454,-7713,10689
7066,1700,4372,-11588,3400,-8205,11890
7093,996,4276,-11924,4593,-8822,12130
7120,208,3088,-11744,6640,-9187,11338
7147,-680,684,-11612,7219,-9001,11161
7174,-1148,-492,-11600,5334,-9070,11891
7201,-1828,-328,-11580,3846,-9317,12399
7228,-3556,-1104,-11624,3946,-8790,11422
7255,-3016,-1184,-11912,4176,-7687,9867
7282,-3188,-1664,-11888,4696,-8940,9022
7309,-4168,-2192,-11884,3189,-8184,9211
7336,-5248,-2640,-11604,912,-7537,9699
7363,-5404,-1116,-11912,1808,-7202,7914
7390,-5776,-2272,-11944,3143,-7256,5997
7417,-6144,-2420,-11852,1184,-6169,6235
7444,-6584,-836,-11764,906,-5299,5934
7471,-6976,-1720,-11696,2715,-4575,4208
7498,-6692,-2832,-11556,2100,-4141,3532
7525,-6712,-1896,-11308,992,-3405,3379
7552,-6912,-1608,-11440,995,-3072,2969
7579,-7056,-1536,-11528,1449,-3047,2202
7606,-7208,-1472,-11624,1306,-2584,1547
7633,-7296,-1312,-11528,1034,-2268,1524
7660,-6948,-1584,-11484,294,-2044,1567
7687,-6276,-520,-10964,245,-2137,1400
7714,-6228,-832,-10344,1001,-2653,795
7741,-7384,-2016,-10432,-214,-2741,1260
7768,-8736,-940,-12264,-1173,-774,1508
7795,-8712,-692,-12340,1080,478,-152
7822,-6704,-1924,-11424,1342,208,-744
7849,-6628,-1956,-10848,-940,276,201
7876,-6816,-544,-10980,-1406,381,255
7903,-7216,-160,-11240,-466,179,-290
7930,-7884,-824,-11024,-92,243,-448
7957,-8996,-1520,-11708,-254,1192,-900
7984,-10224,-3292,-12160,-34,2278,-2084
8011,-9312,-2460,-12704,-1151,4287,-2535
8038,-8812,-2460,-12644,-869,5209,-3692
8065,-8216,-2772,-12268,-913,6193,-4996
8092,-7672,-2540,-11712,-1506,7110,-5899
8119,-6280,-1868,-11452,-1574,7451,-6789
8146,-5684,-1864,-11068,-1630,7053,-7194
