Timestamp,aX,aY,aZ,gX,gY,gZ
23:11:34.170,0.0836,-0.015699999,9.775300026,-0.056600001,0.048,-0.0045
23:11:34.199,0.0022,-0.0002,9.80039978,0.065399997,-0.0131,-0.0045
23:11:34.233,-0.0385,0.0046,9.811200142,0.0044,0.048,-0.0045
23:11:34.279,-0.0218,-0.0014,9.798000336,0.0044,-0.0131,-0.0045
23:11:34.338,0.046500001,-0.030099999,9.827899933,0.0044,-0.0131,-0.0045
23:11:34.395,0.082400002,0.0106,9.789600372,-0.056600001,-0.0131,-0.0045
23:11:34.482,0.0177,-0.0109,9.770500183,0.0044,0.048,0.056499999
23:11:34.502,0.001,0.0166,9.825499535,0.0044,-0.074100003,-0.0656
23:11:34.536,0.007,0.018999999,9.851900101,0.0044,-0.074100003,-0.0045
23:11:34.736,0.044100001,-0.0241,9.833900452,-0.056600001,0.048,0.056499999
23:11:34.765,0.077600002,-0.0253,9.855500221,0.0044,-0.074100003,-0.0045
23:11:34.814,0.061999999,-0.020500001,9.775300026,0.065399997,0.048,0.056499999
23:11:34.862,0.024900001,0.0058,9.803999901,0.065399997,0.048,-0.0045
23:11:34.879,0.024900001,0.022600001,9.778900146,-0.056600001,0.048,0.056499999
23:11:34.907,0.045299999,-0.015699999,9.807600021,0.0044,-0.074100003,0.056499999
23:11:34.926,0.0141,0.0537,9.784799576,0.0044,0.108999997,-0.0656
23:11:34.950,-0.061299998,-0.0002,9.81000042,0.0044,0.048,0.117600001
23:11:34.976,-0.048099998,-0.005,9.819600105,0.065399997,-0.0131,0.056499999
23:11:35.028,0.0141,0.023800001,9.76210022,0.0044,0.048,-0.0045
23:11:35.045,0.0153,0.020199999,9.786000252,0.0044,0.048,-0.0656
23:11:35.064,-0.064900003,0.0154,9.811200142,0.0044,-0.0131,-0.0045
23:11:35.197,0.053599998,0.035700001,9.813599586,-0.056600001,-0.0131,-0.0656
23:11:35.316,0.0165,-0.0253,9.811200142,-0.056600001,0.048,0.056499999
23:11:35.387,-0.005,-0.0085,9.80039978,0.0044,-0.0131,-0.0045
23:11:35.417,0.039299998,0.021400001,9.786000252,0.065399997,-0.0131,-0.0656
23:11:35.757,-0.011,-0.0385,9.821900368,0.0044,0.108999997,-0.0045
23:11:35.805,-0.0122,0.0262,9.833900452,0.0044,-0.0131,-0.0045
23:11:35.820,0.0117,-0.0062,9.789600372,-0.056600001,0.048,0.056499999
23:11:35.835,-0.0038,-0.018100001,9.812399864,0.065399997,-0.0131,-0.0045
23:11:35.870,0.0273,0.0058,9.802800179,0.065399997,-0.074100003,-0.0045
23:11:35.932,-0.042100001,-0.0014,9.824299812,0.0044,-0.0131,-0.0045
23:11:36.051,-0.0493,0.007,9.819600105,0.065399997,-0.0131,-0.0045
23:11:36.144,0.0153,0.013,9.784799576,0.0044,-0.0131,0.056499999
23:11:36.193,0.0105,0.0046,9.798000336,0.0044,0.048,-0.0045
23:11:36.226,0.050099999,0.0034,9.788399696,0.0044,-0.074100003,-0.0656
23:11:36.245,-0.054099999,0.0178,9.781200409,0.0044,0.048,-0.0045
23:11:36.284,0.041700002,0.0082,9.795599937,0.0044,0.048,-0.0045
23:11:36.300,-0.0266,0.0154,9.795599937,0.065399997,-0.0131,-0.0045
23:11:36.327,-0.063699998,-0.0002,9.775300026,-0.056600001,-0.074100003,0.056499999
23:11:36.343,-0.063699998,-0.0014,9.807600021,0.0044,-0.0131,-0.0045
23:11:36.362,0.044100001,-0.0121,9.802800179,0.0044,0.048,-0.0045
23:11:36.376,-0.057700001,-0.0085,9.826700211,0.0044,-0.0131,-0.0045
23:11:36.395,0.033300001,0.007,9.841099739,-0.056600001,-0.074100003,-0.0656
23:11:36.458,0.058400001,0.007,9.784799576,0.0044,-0.074100003,-0.0045
23:11:36.614,-0.034899998,-0.0241,9.802800179,0.0044,-0.0131,-0.0045
23:11:36.682,0.007,-0.0109,9.807600021,-0.056600001,-0.074100003,-0.0045
23:11:36.704,0.0429,0.013,9.827899933,0.0044,0.048,0.056499999
23:11:36.734,-0.0098,-0.0014,9.814800262,0.0044,0.048,-0.0045
23:11:36.760,0.041700002,-0.0014,9.812399864,-0.056600001,-0.0131,0.056499999
23:11:36.787,0.0058,-0.0085,9.788399696,0.0044,-0.0131,-0.0656
