Timestamp,aX,aY,aZ,gX,gY,gZ
21:53:29.886,0.0005,0.0098,9.77630043,0.0568,0.0032,-0.015
21:53:29.922,-0.0145,-0.0231,9.775699615,-0.0196,-0.0197,-0.022600001
21:53:29.954,0.0059,-0.0111,9.821800232,0.064400002,0.0109,0.0308
21:53:29.985,0.0077,0.0176,9.818200111,0.0491,-0.0044,0.0003
21:53:30.018,0.0209,-0.0189,9.835599899,0.0033,0.0109,-0.037900001
21:53:30.055,0.0119,-0.0004,9.787099838,-0.0196,0.0185,-0.076099999
21:53:30.087,0.0059,0.005,9.834400177,0.011,0.064300001,-0.068400003
21:53:30.117,-0.024,-0.015900001,9.917599678,-0.0196,-0.012,0.122400001
21:53:30.153,0.050799999,0.002,9.718299866,0.0186,-0.034899998,0.0079
21:53:30.185,0.0101,0.0296,9.806900024,0.0339,-0.034899998,0.0308
21:53:30.220,-0.016799999,-0.034499999,9.786499977,0.0491,0.0261,0.0003
21:53:30.249,0.0011,-0.0309,9.833800316,-0.050099999,0.0185,-0.076099999
21:53:30.286,0.0131,-0.017100001,9.845199585,0.0262,-0.042599998,0.061299998
21:53:30.318,0.0077,0.017000001,9.83619976,0.011,0.064300001,-0.0074
21:53:30.361,0.016100001,0.015799999,9.81760025,-0.088299997,0.079599999,0.0003
21:53:30.384,0.020300001,-0.015900001,9.765000343,-0.0348,-0.057799999,-0.068400003
21:53:30.418,0.0041,-0.0285,9.797300339,-0.0043,0.0414,0.061299998
21:53:30.475,-0.019200001,0.0062,9.7979002,-0.057700001,-0.0044,-0.098999999
21:53:30.489,0.033399999,0.037900001,9.814599991,0.087300003,-0.088399999,0.0079
21:53:30.514,0.0262,-0.038699999,9.85890007,-0.111199997,0.0032,-0.053199999
21:53:30.546,0.0125,0.02,9.811699867,-0.072999999,-0.096000001,0.0155
21:53:30.580,0.0017,-0.015900001,9.769800186,0.148399994,0.0261,-0.037900001
21:53:30.616,0.030400001,0.011,9.817000389,-0.126399994,-0.034899998,-0.015
21:53:30.648,0.0149,0.0337,9.826000214,0.163599998,-0.0044,0.061299998
21:53:30.681,-0.0013,-0.0022,9.814599991,-0.050099999,0.0185,0.0003
21:53:30.715,0.026799999,0.0104,9.812299728,-0.157000005,0.0032,-0.037900001
21:53:30.745,0.019099999,-0.0028,9.809300423,0.201800004,-0.065499999,-0.015
21:53:30.782,-0.0145,-0.039900001,9.80150032,-0.088299997,0.094800003,0.046100002
21:53:30.813,0.0005,0.023,9.806900024,0.0568,-0.073100001,0.0308
21:53:30.844,0.037599999,0.015799999,9.847599983,0.133100003,-0.0044,0.0079
21:53:30.879,-0.0031,-0.0147,9.83619976,-0.118799999,-0.012,-0.030300001
21:53:30.912,-0.0085,-0.0076,9.805700302,0.102600001,0.0109,0.0155
21:53:30.943,-0.0025,-0.0046,9.831999779,-0.095899999,0.0414,-0.076099999
21:53:30.982,0.0005,-0.0129,9.7979002,-0.0425,-0.0197,-0.015
21:53:31.009,0.0059,-0.001,9.830200195,0.041499998,0.064300001,0.0079
21:53:31.043,-0.0121,-0.0123,9.811699867,-0.0196,0.0261,-0.053199999
21:53:31.075,0.0137,-0.0093,9.810500145,-0.0119,-0.0044,0.0308
21:53:31.111,0.028000001,-0.0111,9.807499886,0.071999997,0.094800003,0.0155
21:53:31.141,-0.0031,-0.0141,9.792499542,0.011,0.048999999,-0.015
21:53:31.175,0.0041,0.002,9.818200111,0.102600001,0.0261,-0.091300003
21:53:31.208,-0.0109,-0.0082,9.799099922,-0.080600001,0.0109,-0.022600001
21:53:31.241,0.0101,-0.0261,9.809900284,0.156000003,0.0109,-0.068400003
21:53:31.277,-0.029999999,-0.023700001,9.809300423,0.0339,0.087200001,0.0232
21:53:31.307,-0.0097,-0.007,9.770999908,0.011,-0.034899998,-0.076099999
21:53:31.341,0.0101,0.0272,9.81289959,0.079700001,0.0414,0.0537
21:53:31.372,0.0023,-0.0363,9.781700134,-0.050099999,0.048999999,-0.022600001
21:53:31.417,-0.015699999,-0.0195,9.815799713,-0.057700001,0.163499996,-0.037900001
21:53:31.440,0.0005,0.033100002,9.824799538,0.156000003,0.071900003,0.046100002
21:53:31.472,-0.0001,-0.037500001,9.809300423,-0.095899999,-0.088399999,-0.022600001
21:53:31.507,0.0262,-0.0129,9.792499542,-0.0119,0.048999999,-0.022600001
21:53:31.536,-0.023399999,0.019400001,9.833200455,0.071999997,0.064300001,-0.098999999
21:53:31.589,-0.0037,-0.024900001,9.814100266,-0.0043,0.0414,-0.030300001
21:53:31.617,0.0262,0.0068,9.798500061,0.0033,0.0032,0.0003
21:53:31.639,0.024499999,0.011,9.824199677,0.064400002,0.033799998,0.0155
21:53:31.672,-0.0162,-0.0034,9.831999779,-0.095899999,-0.0273,-0.037900001
21:53:31.703,-0.0127,-0.0022,9.824799538,0.094899997,-0.103600003,0.0537
21:53:31.737,0.017899999,0.0008,9.820599556,0.0339,-0.103600003,0.0537
21:53:31.767,-0.024,-0.0177,9.81289959,-0.0272,-0.0044,-0.060800001
21:53:31.800,0.0077,0.0218,9.808099747,-0.0196,-0.057799999,0.0079
21:53:31.833,0.038800001,0.0188,9.803299904,0.087300003,0.0185,0.0155
21:53:31.874,-0.0025,0.017000001,9.802700043,-0.065399997,-0.080700003,-0.037900001
21:53:31.903,-0.033,-0.0219,9.775699615,0.079700001,0.0109,-0.022600001
21:53:31.937,0.0167,0.0044,9.809300423,-0.065399997,-0.034899998,0.0155
21:53:31.982,-0.0025,-0.0123,9.811699867,0.125499994,-0.0273,0.0308
21:53:32.001,-0.0043,0.021199999,9.815199852,0.0033,0.094800003,0.0079
21:53:32.032,-0.0013,0.019400001,9.818799973,0.071999997,0.0109,0.038400002
21:53:32.069,-0.0127,0.005,9.815799713,-0.0119,0.056699999,0.0079
21:53:32.100,0.0143,0.0164,9.807499886,-0.095899999,0.0414,-0.015
21:53:32.138,0.0065,0.0164,9.823599815,-0.0043,-0.0044,-0.0074
21:53:32.169,0.0149,-0.022500001,9.816399574,0.041499998,0.056699999,0.0232
21:53:32.200,-0.0198,0.0152,9.81289959,-0.0348,0.071900003,-0.030300001
21:53:32.233,-0.0031,-0.0034,9.829600334,0.041499998,0.0414,-0.030300001
21:53:32.264,-0.0055,-0.0076,9.814100266,0.0186,-0.042599998,-0.022600001
21:53:32.295,-0.028200001,-0.0082,9.819399834,-0.050099999,-0.0273,0.046100002
21:53:32.332,0.019099999,-0.0076,9.798500061,0.041499998,-0.0502,0.061299998
21:53:32.364,0.0274,0.0284,9.817000389,0.102600001,0.071900003,-0.030300001
21:53:32.394,-0.0091,0.018200001,9.814599991,0.041499998,0.087200001,0.0232
21:53:32.437,-0.0067,0.0044,9.819399834,-0.0119,0.064300001,-0.015
21:53:32.463,0.020300001,0.0014,9.795499802,0.0339,-0.057799999,-0.0074
21:53:32.493,0.0149,0.0062,9.814100266,0.110200003,-0.073100001,0.0232
21:53:32.526,-0.0174,0.0074,9.831999779,0.011,0.0185,-0.037900001
21:53:32.565,0.0047,0.018200001,9.822999954,0.064400002,-0.042599998,0.0079
21:53:32.605,0.0029,-0.037500001,9.782299995,-0.149299994,-0.0273,-0.045499999
21:53:32.626,-0.0121,0.0176,9.793700218,0.064400002,-0.012,-0.037900001
21:53:32.658,0.0095,0.0056,9.809900284,0.041499998,-0.111299999,-0.022600001
21:53:32.698,0.0107,0.0272,9.806900024,-0.0043,-0.096000001,0.038400002
21:53:32.724,-0.0109,-0.0297,9.763199806,-0.057700001,0.0261,-0.098999999
21:53:32.759,0.0167,-0.0082,9.805100441,0.011,0.0185,0.0003
21:53:32.795,-0.0103,-0.032699998,9.847599983,0.0339,0.056699999,-0.037900001
21:53:32.834,-0.0013,-0.0099,9.782299995,-0.0119,-0.034899998,-0.022600001
21:53:32.858,0.0149,0.015799999,9.820599556,0.0491,-0.012,-0.053199999
21:53:32.893,0.026799999,0.008,9.808699608,-0.103500001,0.125400007,-0.0074
21:53:32.927,-0.0085,-0.0165,9.797300339,0.0262,0.048999999,0.0232
21:53:32.955,-0.0103,-0.017100001,9.799099922,0.079700001,0.0185,0.0308
21:53:32.988,-0.0007,-0.020099999,9.818200111,0.011,0.094800003,-0.037900001
21:53:33.021,0.0185,0.014,9.830800056,-0.0196,0.0032,0.0155
21:53:33.064,-0.0085,-0.0004,9.797300339,0.041499998,0.0109,-0.045499999
21:53:33.087,-0.0079,-0.0195,9.799099922,-0.080600001,-0.0197,-0.114200003
21:53:33.122,-0.0001,0.0134,9.793700218,0.102600001,0.064300001,-0.083700001
21:53:33.154,0.0089,-0.0004,9.826000214,0.0568,-0.0197,-0.083700001
21:53:33.189,0.0185,0.023600001,9.804499626,0.041499998,0.033799998,0.046100002
21:53:33.222,0.020300001,0.0385,9.808699608,-0.149299994,-0.088399999,0.0308
21:53:33.257,-0.0019,-0.023700001,9.814599991,-0.0196,0.048999999,-0.053199999
21:53:33.288,-0.0121,-0.031500001,9.806300163,-0.088299997,0.071900003,-0.060800001
21:53:33.319,-0.0067,0.0128,9.808099747,0.041499998,0.0261,0.0079
