T,AX,AY,AZ,GX,GY,GZ
46,-5576,6420,-9912,-246,162,12
73,-5852,6212,-9916,-170,100,7
100,-5784,6200,-10016,-198,120,13
127,-5600,6076,-10008,-173,114,-6
154,-5848,6224,-10084,-197,149,15
181,-5732,6280,-9816,-181,161,-3
208,-5628,6396,-9792,-179,161,19
235,-5680,6288,-10040,-215,110,41
262,-5916,6148,-9908,-235,108,46
289,-5656,6368,-9888,-163,105,19
316,-5724,6208,-9888,-190,132,25
343,-5748,6172,-10004,-195,94,19
370,-5696,6240,-9864,-251,121,42
397,-5628,6304,-9988,-226,69,4
424,-5756,6096,-9860,-220,58,18
451,-5648,6148,-9800,-189,88,93
478,-5524,6252,-9996,-207,190,88
505,-5804,6252,-9856,-233,191,53
532,-5716,6168,-9900,-196,184,14
559,-5560,6116,-9852,-179,119,18
586,-5700,6212,-9876,-179,138,16
613,-5732,6056,-9928,-163,121,48
640,-5548,6064,-9956,-253,81,61
667,-5800,6120,-9888,-298,11,88
694,-5636,6252,-10020,-304,81,53
721,-5564,6176,-9968,-305,116,-21
748,-5620,6200,-9788,-412,-98,18
775,-5968,6024,-9848,-362,-97,87
802,-5880,6268,-9864,-192,-55,67
829,-5580,6320,-9900,-124,181,91
856,-5736,6180,-9900,-102,258,34
883,-5708,6220,-9832,-172,313,-11
910,-5536,6028,-9968,-315,114,38
937,-5764,6024,-9904,-422,-41,74
964,-5784,6176,-9924,-454,-33,95
991,-5560,6212,-9840,-425,3,60
1018,-5692,6164,-9728,-415,20,73
1045,-5716,6204,-9892,-343,134,83
1072,-5560,6220,-9816,-303,154,17
1099,-5680,6304,-9884,-197,187,-14
1126,-5764,6104,-9840,-170,80,27
1153,-5612,6252,-9900,-206,47,101
1180,-5680,6120,-9892,-260,55,69
1207,-5832,6096,-9916,-149,64,65
1234,-5716,6248,-9896,-238,19,174
1261,-5624,6252,-9856,-248,57,78
1288,-5816,6124,-9816,-354,23,127
1315,-5712,6096,-9932,-354,-44,132
1342,-5488,6384,-9860,-333,82,114
1369,-5804,6084,-9744,-202,190,55
1396,-5600,6132,-10000,-176,215,44
1423,-5676,5804,-9936,-187,49,96
1450,-5860,6268,-9956,-292,22,90
1477,-5704,6164,-10076,-502,63,52
1504,-5628,6596,-9888,-467,145,27
1531,-5656,6440,-10088,-364,35,-20
