T,AX,AY,AZ,GX,GY,GZ
46,-0.239420,-8.726865,-2.130840,-0.033308,0.016920,0.000933
61,-0.313640,-8.726865,-2.217031,-0.034240,0.011191,0.006129
76,-0.337582,-8.762778,-2.219425,-0.030243,0.011858,0.004130
91,-0.409408,-8.726865,-2.355894,-0.033974,0.016521,-0.000799
106,-0.253785,-8.662222,-2.178724,-0.031975,0.015055,0.000266
121,-0.229843,-8.688558,-2.118868,-0.034907,0.012524,-0.000133
136,-0.325611,-8.707711,-2.190695,-0.029577,0.013323,0.002265
151,-0.323217,-8.674192,-2.219425,-0.024115,0.019319,0.001998
166,-0.304064,-8.722076,-2.195483,-0.024648,0.014922,0.003331
181,-0.239420,-8.781932,-2.116474,-0.033574,0.017187,-0.003331
196,-0.332794,-8.769960,-2.308010,-0.039703,0.013590,0.001466
211,-0.344765,-8.822633,-2.190695,-0.049695,0.015188,0.001199
226,-0.330400,-8.695741,-2.152387,-0.051827,0.018119,0.002531
241,-0.258574,-8.669404,-2.255338,-0.048096,0.012923,0.000266
256,-0.320823,-8.681376,-2.255338,-0.042234,0.020118,0.001732
271,-0.313640,-8.702923,-2.308010,-0.033441,0.010259,0.007194
286,-0.390255,-8.705317,-2.293645,-0.024781,0.014789,0.002265
301,-0.301669,-8.683769,-2.149993,-0.027979,0.015721,-0.000666
316,-0.193930,-8.789114,-2.185906,-0.034907,0.012391,0.004397
331,-0.306458,-8.769960,-2.286463,-0.042501,0.012524,0.008260
346,-0.313640,-8.690952,-2.312799,-0.040636,0.013323,0.005462
361,-0.280122,-8.714894,-2.195483,-0.033041,0.013456,0.005462
376,-0.292093,-8.705317,-2.207454,-0.029844,0.016387,0.006528
391,-0.306458,-8.688558,-2.236184,-0.037838,0.011724,0.004663
406,-0.356736,-8.741230,-2.224213,-0.038770,0.013590,0.006928
421,-0.332794,-8.681376,-2.272097,-0.032242,0.017986,0.000400
436,-0.287304,-8.690952,-2.291251,-0.023049,0.013323,0.000533
451,-0.248997,-8.724471,-2.219425,-0.022250,0.011325,0.003864
466,-0.313640,-8.798691,-2.264915,-0.026113,0.013989,0.002398
481,-0.330400,-8.767567,-2.248155,-0.034907,0.010925,0.003331
