T,AX,AY,AZ,GX,GY,GZ
46,-2.765303,0.205901,-6.971915,-0.030910,0.007328,0.008260
61,-2.882619,0.110133,-6.969521,-0.024115,0.014655,0.012391
76,-2.987964,0.167594,-6.991069,-0.019185,0.013723,0.014256
91,-2.870648,0.141258,-6.962338,-0.013456,0.017853,0.006395
106,-2.908955,0.026336,-7.060501,-0.029178,0.024914,0.002531
121,-2.952051,0.033519,-7.005434,-0.052760,0.038104,0.004530
136,-2.906561,0.112527,-7.082048,-0.052227,0.042368,0.001599
151,-2.750938,0.181959,-6.969521,-0.040369,0.043700,-0.000266
166,-2.580949,0.167594,-7.000646,-0.047164,0.028511,0.005729
181,-2.762909,0.234632,-6.988675,-0.051028,0.023848,0.011858
196,-2.815581,0.227449,-7.062895,-0.027845,0.007328,0.011991
211,-2.762909,0.225055,-7.067683,-0.016787,0.008260,0.013989
226,-2.786851,0.124498,-7.003040,-0.033041,0.023449,0.023982
241,-2.784456,0.043096,-7.017405,-0.041168,0.018386,0.022250
256,-2.918532,0.052672,-6.880936,-0.055691,0.021450,0.019851
271,-2.834735,0.119710,-6.926425,-0.056090,0.017054,0.017453
286,-2.715025,0.179565,-7.005434,-0.046631,0.008793,0.011325
301,-2.829946,0.090980,-6.967127,-0.042234,0.021051,0.012524
316,-2.810793,0.064643,-7.041347,-0.051960,0.029044,0.012524
331,-2.875436,0.153229,-7.017405,-0.040636,0.024914,0.006395
346,-2.647987,0.016759,-6.878541,-0.041701,0.018253,0.007594
361,-2.695871,0.167594,-6.849811,-0.042900,0.002531,0.007594
376,-2.806004,0.193930,-6.981492,-0.041435,-0.008260,0.002798
391,-2.851494,0.239420,-6.995857,-0.019718,0.001732,0.001732
406,-2.841917,0.260968,-7.050924,-0.013057,0.012657,0.002665
421,-2.686294,0.141258,-7.012617,-0.013323,0.014522,0.007727
436,-2.736573,0.102951,-6.957550,-0.021450,0.014655,0.008127
451,-2.858677,0.038307,-6.952762,-0.037704,0.004663,0.007727
466,-2.789245,0.160412,-7.007828,-0.039170,0.000133,0.011191
