T,AX,AY,AZ,GX,GY,GZ
46,-2648,7796,-9768,1806,-503,-2248
73,-2452,6716,-9824,-1055,838,304
100,-1716,8984,-10232,-1417,961,807
127,-2600,9572,-10204,-1053,1473,1547
154,-2868,10476,-10032,789,2325,2005
181,-3680,8276,-10516,-1827,770,451
208,-2880,7872,-11088,-6910,424,4813
235,-1612,12040,-10208,-2085,965,1303
262,-1804,10084,-9748,1026,1295,-535
289,-1504,8832,-9728,40,362,126
316,-1752,8824,-9392,-344,1199,-147
343,-1408,8888,-9596,-1139,1515,824
370,-500,10364,-10560,-2131,2685,3078
397,184,10492,-8484,2301,-6,541
424,-388,7344,-5904,6527,-4923,-4514
451,-3336,4384,-7520,322,1493,-364
478,-2368,9392,-10024,-3545,3912,3520
505,580,10540,-9040,757,318,628
532,-4296,8280,-11784,-2292,-3340,3487
559,448,8816,-7872,-6051,-109,5075
586,-1232,11840,-10960,-3502,142,3118
613,-352,10736,-9436,521,-304,-440
640,-96,9864,-9212,-810,133,45
667,-928,9568,-9208,-1170,691,342
694,-896,9888,-9028,-1429,-54,697
721,-1012,10144,-9204,-947,87,973
748,-824,9668,-8924,-467,-51,190
775,-1460,9568,-9124,-676,-777,-159
802,-1272,9832,-9264,-138,143,135
829,-704,9936,-9252,309,-37,-246
856,-1376,9144,-9272,271,-788,-716
883,-1948,9016,-9364,-278,49,-267
910,-1296,10216,-9168,218,90,-439
937,-1280,9400,-9276,754,-215,-953
964,-1616,9152,-9376,-199,-307,-529
991,-1596,9640,-9368,-564,462,81
1018,-1016,10004,-9420,-354,304,-144
1045,-1280,9944,-9032,632,-180,-826
1072,-1580,9524,-9308,315,67,-518
1099,-1644,9548,-9352,78,412,-110
1126,-1112,9524,-9096,-82,168,-174
1153,-1212,9580,-9028,243,-258,-422
1180,-1660,9208,-9308,-231,20,-332
1207,-1528,9744,-9188,-250,134,-323
1234,-1148,9792,-9448,148,14,-529
1261,-1484,9460,-9268,-9,-49,-269
1288,-1848,9676,-9376,-227,123,21
1315,-1176,9568,-9208,229,-17,-401
1342,-1324,9036,-9156,-91,-261,-293
1369,-1680,9364,-9240,-410,-132,-138
1396,-1756,9668,-9212,-177,-6,-186
1423,-1620,9668,-9604,308,-97,-368
1450,-1832,9140,-9440,140,-57,-258
1477,-1860,9140,-9480,-314,270,-57
1504,-1640,9428,-9248,-494,375,-86
1531,-1504,9844,-9364,-225,127,-287
1558,-1672,9660,-9432,-77,-57,-178
1585,-1644,9504,-9488,45,112,-172
1612,-1760,9436,-9360,-104,207,-51
1639,-1724,9580,-9456,-16,289,-177
1666,-1504,9288,-9344,-196,215,13
1693,-1528,9560,-9200,-318,223,93
1720,-1812,9476,-9336,-138,126,79
1747,-1656,9384,-9400,-48,147,20
1774,-1568,9424,-9424,-278,166,123
1801,-1632,9488,-9328,-222,12,-66
1828,-1748,9472,-9388,0,52,-244
1855,-1580,9444,-9540,-146,288,175
1882,-1580,9548,-9492,-24,230,141
1909,-1792,9160,-9316,89,89,-83
1936,-1740,9308,-9416,-154,2,-78
1963,-1684,9388,-9500,-295,167,79
1990,-1548,9504,-9324,-179,170,37
2017,-1516,9432,-9344,168,-83,-170
2044,-1596,9468,-9548,221,-53,-128
2071,-1732,9152,-9236,117,-24,-64
2098,-1740,9268,-9256,-197,155,94
2125,-1448,9488,-9276,-102,-22,2
2152,-1788,9232,-9300,73,-171,-41
2179,-1716,9228,-9388,-88,105,113
2206,-1476,9292,-9388,-113,-148,-8
2233,-1704,9228,-9544,-139,-181,73
2260,-1756,9516,-9528,-51,-129,143
2287,-1728,9136,-9540,144,-87,56
2314,-1784,9068,-9308,4,-217,-57
2341,-2008,8820,-9456,-303,-96,18
2368,-1768,9356,-9444,-412,-46,126
2395,-1764,9704,-9596,121,-95,-98
2422,-1956,8868,-9604,104,-89,-111
2449,-1920,9056,-9708,-257,-109,-43
2476,-1752,9452,-9684,-309,25,-12
2503,-1968,9236,-9324,-85,100,-118
2530,-1888,9372,-9636,28,66,-128
2557,-1772,9076,-9488,-511,169,266
2584,-1968,9552,-9588,-242,219,85
2611,-2004,9292,-9348,109,184,-132
2638,-1880,8952,-9444,-4,113,-37
2665,-1852,9116,-9320,-327,275,72
2692,-1864,9364,-9532,-155,231,-50
2719,-1640,9304,-9492,-51,-148,-57
2746,-1572,9096,-9320,-160,16,30
2773,-1852,9280,-9376,-229,78,-11
2800,-1616,9304,-9636,17,83,-137
2827,-1756,8916,-9232,-205,174,103
2854,-2092,9296,-9552,-354,203,185
2881,-1776,9224,-9472,-205,165,47
2908,-1832,9244,-9568,-161,181,184
2935,-1816,9148,-9508,-86,262,33
2962,-2116,8784,-9516,-260,104,133
2989,-1568,9160,-9572,-382,289,100
3016,-1876,9160,-9456,-104,136,86
3043,-1768,9156,-9408,-155,210,13
3070,-1772,9164,-9432,-58,63,-86
3097,-1976,8968,-9460,-423,153,28
3124,-1964,9308,-9500,-365,105,23
3151,-1840,9416,-9500,101,149,-197
3178,-1612,9040,-9356,-130,53,-2
3205,-1800,9148,-9380,-373,100,145
3232,-1728,9168,-9472,-194,4,93
3259,-1660,9148,-9512,-121,16,155
3286,-1772,8896,-9440,-116,-63,-6
3313,-1940,8960,-9556,-331,-57,29
3340,-1904,9344,-9688,-81,-14,-88
3367,-1792,9312,-9500,84,-3,-93
3394,-1984,9016,-9500,-34,-3,-9
3421,-1888,8996,-9540,-323,87,118
3448,-1880,9276,-9480,-189,88,-27
3475,-2064,9000,-9408,-187,81,-35
3502,-1916,9240,-9604,-137,-5,-100
3529,-2156,9232,-9676,-137,106,-52
3556,-1752,9368,-9692,-229,271,20
3583,-1844,9252,-9516,95,198,-107
3610,-1948,8904,-9492,-134,98,-64
3637,-1836,8964,-9520,-589,188,160
3664,-1864,9460,-9416,-153,99,-131
3691,-1988,9120,-9588,122,-3,-257
3718,-1896,8868,-9648,-532,149,161
3745,-1796,9432,-9536,-494,165,93
3772,-1964,9272,-9472,-22,63,-91
3799,-1872,9112,-9544,6,76,4
3826,-1872,9048,-9552,-232,150,91
3853,-1852,9096,-9456,-438,128,119
3880,-1788,9100,-9408,-223,17,6
3907,-2024,9020,-9588,-488,125,224
3934,-1992,9376,-9552,-297,213,80
3961,-1820,9048,-9460,-2,112,-147
3988,-1844,8784,-9584,-364,62,-55
4015,-2016,9236,-9484,-663,225,210
4042,-1968,9460,-9584,82,87,-111
4069,-1924,8900,-9528,8,61,-159
4096,-1984,8936,-9548,-541,101,68
4123,-2032,9404,-9564,-535,145,62
4150,-2000,9272,-9488,-3,683,-131
4177,-1700,9020,-9312,-154,298,-21
4204,-2108,9136,-9428,-457,161,148
4231,-1812,9464,-9356,-223,53,54
4258,-1656,9088,-9412,139,-105,-180
4285,-2152,8772,-9496,-586,-56,194
4312,-1968,9492,-9528,-497,231,151
4339,-1704,9488,-9656,82,-155,-189
4366,-2076,8816,-9404,-8,202,-112
4393,-2216,8908,-9668,-585,183,107
4420,-1664,9476,-9552,-126,279,-124
4447,-1732,9180,-9448,-12,-121,-124
4474,-2016,9048,-9468,-267,227,5
4501,-1732,9240,-9376,-384,99,-3
4528,-1952,9308,-9388,-68,112,-210
4555,-2064,8976,-9412,-519,222,139
4582,-1624,9380,-9428,-432,221,155
4609,-1668,9372,-9352,-19,-76,-210
4636,-2236,9132,-9464,-60,-34,-221
4663,-2028,9140,-9368,-518,129,209
4690,-1856,9596,-9484,-252,89,67
4717,-2084,9248,-9388,82,-52,-182
4744,-1944,8920,-9644,-383,64,110
4771,-1828,9420,-9368,-577,137,214
4798,-1772,9432,-9404,-5,115,-64
4825,-2112,8936,-9484,-152,27,43
4852,-1708,9248,-9492,-301,119,103
4879,-1856,9096,-9404,-229,12,18
4906,-2208,9048,-9472,-185,44,-29
4933,-2068,8900,-9576,-370,143,123
4960,-1812,9528,-9476,-267,123,45
4987,-1928,9092,-9424,179,-34,-311
5014,-2168,8764,-9436,-231,45,-140
5041,-1812,9456,-9404,-482,143,50
5068,-1956,9552,-9404,41,80,-199
5095,-2088,8912,-9428,-21,81,-203
5122,-1888,9136,-9452,-356,154,48
5149,-1876,9400,-9332,-374,108,41
5176,-1948,9316,-9328,-210,79,25
5203,-1872,9124,-9360,-107,-101,64
5230,-1964,9192,-9344,-213,200,79
5257,-1848,9160,-9280,-188,-53,-69
5284,-1996,9124,-9400,-74,-104,-76
5311,-2176,9256,-9720,-285,105,171
5338,-2072,9196,-9320,59,69,-73
5365,-2052,8824,-9396,-101,-24,-127
5392,-1832,9020,-9528,-445,51,68
5419,-2052,9340,-9640,-458,410,198
5446,-1924,9420,-9468,184,98,-225
5473,-2056,8688,-9640,-186,184,-20
5500,-2156,9272,-9432,-726,214,276
5527,-2168,9528,-9656,-40,345,5
5554,-1772,8960,-9408,51,215,-96
5581,-1872,8900,-9392,-412,123,109
5608,-2192,9156,-9448,-522,100,159
5635,-1744,9480,-9484,-135,151,-114
5662,-1904,8928,-9252,-102,13,-149
5689,-2096,9068,-9540,-683,124,203
5716,-1948,9508,-9616,-151,105,9
5743,-1900,9080,-9416,124,-33,-191
5770,-2156,8812,-9436,-533,65,159
5797,-1920,9624,-9588,-556,134,163
5824,-1748,9440,-9488,114,142,-76
5851,-2128,8972,-9376,-132,145,23
5878,-2192,9036,-9508,-460,317,234
5905,-1816,9288,-9316,-512,266,222
5932,-1872,9400,-9520,-3,173,-118
5959,-2140,8828,-9428,-36,132,-107
5986,-1968,9000,-9348,-881,301,380
6013,-1680,9768,-9464,-54,211,-161
6040,-2016,9036,-9376,186,101,-254
6067,-2032,9124,-9340,-286,104,-58
6094,-2020,9372,-9536,-365,175,19
6121,-1980,9508,-9460,-149,174,-17
6148,-2048,9000,-9412,-127,112,72
6175,-1656,9344,-9384,-334,212,197
6202,-1856,9316,-9372,89,154,-33
6229,-2000,8980,-9424,115,-83,-161
6256,-1968,8896,-9356,-402,-85,118
6283,-2076,9360,-9480,-307,-75,73
6310,-2100,9264,-9536,14,-3,-51
6337,-2060,9124,-9576,34,42,-79
6364,-1916,8992,-9564,-291,105,64
6391,-2152,9380,-9480,-341,67,107
6418,-1948,9184,-9524,-325,112,95
6445,-1936,9344,-9392,-26,31,-9
6472,-2160,8936,-9576,-88,50,-50
6499,-2136,9036,-9520,-551,169,191
6526,-2300,9428,-9420,-223,725,163
6553,-2068,8944,-9432,131,573,-17
6580,-2132,8844,-9580,-424,297,224
6607,-2056,9448,-9284,-337,-108,79
6634,-2348,9240,-9360,38,177,-35
6661,-2124,9112,-9516,-99,-40,75
6688,-1888,9128,-9640,-306,250,201
6715,-1788,9296,-9496,-68,-21,18
6742,-2196,9180,-9408,-30,257,50
6769,-1896,8964,-9532,-395,164,236
6796,-1680,9300,-9480,-444,134,152
6823,-1828,9420,-9444,-202,-132,37
6850,-1884,9296,-9272,-52,90,104
6877,-1848,8976,-9340,-168,-76,94
6904,-1888,9100,-9344,-196,-77,-40
6931,-1916,9112,-9388,-232,61,57
6958,-1900,9180,-9536,-356,44,177
6985,-1828,9144,-9440,-159,96,46
7012,-2044,9016,-9612,-129,9,-90
7039,-2272,9124,-9616,-154,242,-138
7066,-2012,9296,-9576,-212,308,-68
7093,-1872,9304,-9500,-11,500,-63
7120,-1724,9036,-9420,-60,156,-61
7147,-1960,9100,-9728,-222,273,8
7174,-1784,9276,-9252,-184,330,68
7201,-1892,9068,-9176,-39,142,-42
7228,-1844,9088,-9240,-143,-2,-3
7255,-1792,9292,-9424,-265,10,20
7282,-2032,9276,-9516,-225,-17,90
7309,-2064,9312,-9512,-183,159,158
7336,-1812,9200,-9560,-158,84,119
7363,-1848,9192,-9536,-97,-12,152
7390,-1920,9032,-9500,-130,65,133
7417,-1924,9068,-9536,-138,-105,35
7444,-1836,9016,-9448,-104,138,3
7471,-2156,8724,-9564,-453,31,110
7498,-2084,9000,-9612,-486,182,123
7525,-1856,9248,-9588,-409,118,-8
7552,-1912,9176,-9492,-99,208,-91
7579,-1876,8860,-9420,-412,126,41
7606,-1792,9368,-9608,-374,182,30
7633,-2044,9268,-9604,-152,161,-45
7660,-2040,8996,-9588,-189,196,-51
7687,-1936,9056,-9480,-349,167,-18
7714,-1808,9388,-9472,-291,237,34
7741,-2040,9120,-9460,-168,172,-14
7768,-1940,9080,-9388,-264,186,14
7795,-1788,9280,-9456,-255,99,-57
7822,-2084,9188,-9300,-247,100,-9
7849,-1952,9260,-9392,-274,112,89
7876,-1640,9308,-9512,-261,77,145
7903,-1944,8980,-9448,-208,-49,-21
7930,-2112,8884,-9548,-422,-49,41
7957,-1888,9232,-9632,-355,-12,-29
7984,-1860,9060,-9404,-199,-31,-79
8011,-2104,9300,-9500,-494,-151,57
8038,-2032,9424,-9368,-77,126,-69
8065,-2044,9232,-9508,-80,91,-60
8092,-2300,8992,-9532,-476,201,102
8119,-1848,9512,-9464,-428,296,150
