T,AX,AY,AZ,GX,GY,GZ
46,-1.704672,-1.180341,-7.297527,-0.044233,0.014256,0.004397
61,-1.659182,-1.031901,-7.273585,-0.043833,0.013989,0.006129
76,-1.537077,-0.945710,-7.132327,-0.030510,0.016254,0.002798
91,-1.582567,-1.120486,-7.237672,-0.027712,0.008926,0.004130
106,-1.764527,-1.201889,-7.187393,-0.031709,0.013723,-0.000666
121,-1.726219,-1.146823,-7.254431,-0.037438,0.013456,0.002265
136,-1.654393,-1.034295,-7.216124,-0.043167,0.013723,0.003198
151,-1.575385,-0.945710,-7.218518,-0.033574,0.004263,0.004796
166,-1.709460,-1.051054,-7.247249,-0.027446,0.011724,0.005462
181,-1.762132,-1.134852,-7.331046,-0.028378,0.008926,0.002398
196,-1.651999,-1.091756,-7.189787,-0.030110,0.014256,0.002931
211,-1.599327,-1.084573,-7.220912,-0.033041,0.017587,0.002132
226,-1.654393,-1.139640,-7.259220,-0.034107,0.011325,0.002931
241,-1.738190,-1.156399,-7.247249,-0.039436,0.011858,0.005196
256,-1.704672,-1.094150,-7.264008,-0.042368,0.010792,0.005729
271,-1.654393,-0.995988,-7.237672,-0.038104,0.011325,0.006262
286,-1.625663,-1.048660,-7.244854,-0.032109,0.012923,0.002798
301,-1.778892,-1.079785,-7.295133,-0.030377,0.014123,0.002665
316,-1.678335,-1.055843,-7.299921,-0.026513,0.013856,0.001599
331,-1.618480,-1.122881,-7.311892,-0.031309,0.011724,0.003464
346,-1.635240,-1.106121,-7.271191,-0.037438,0.015322,0.004130
361,-1.704672,-1.101333,-7.287950,-0.038237,0.009326,0.004397
376,-1.692701,-1.098939,-7.249643,-0.028778,0.014922,0.004530
391,-1.630451,-1.077391,-7.302315,-0.028778,0.012524,0.002398
406,-1.623269,-1.165976,-7.223306,-0.031443,0.011458,0.001865
421,-1.740585,-1.194707,-7.283162,-0.039303,0.017187,0.001199
436,-1.762132,-1.175553,-7.252037,-0.044100,0.008660,0.006662
451,-1.649605,-1.063026,-7.268796,-0.042101,0.014655,0.007061
466,-1.546654,-1.067814,-7.295133,-0.038637,0.011058,0.008394
481,-1.742979,-1.082179,-7.244854,-0.026513,0.018119,0.000533
496,-1.711854,-1.132457,-7.304709,-0.030910,0.005329,0.003597
511,-1.651999,-1.106121,-7.211335,-0.033041,0.018119,0.002531
526,-1.584962,-1.106121,-7.182605,-0.037172,0.009992,0.003331
541,-1.618480,-1.130063,-7.278373,-0.031975,0.013057,0.005329
556,-1.764527,-1.142034,-7.340622,-0.031576,0.013590,0.001865
571,-1.699883,-1.158794,-7.302315,-0.030776,0.016121,-0.000133
586,-1.606509,-1.017536,-7.271191,-0.039836,0.016521,0.003064
601,-1.625663,-1.108515,-7.352593,-0.043700,0.017853,0.004130
616,-1.690306,-1.048660,-7.290344,-0.035573,0.010525,0.002665
631,-1.766921,-0.993594,-7.273585,-0.027845,0.013989,0.004930
646,-1.668759,-1.115698,-7.228095,-0.026513,0.012524,-0.000799
661,-1.580173,-1.127669,-7.316680,-0.026113,0.011858,0.003997
676,-1.675941,-1.206678,-7.343017,-0.026779,0.013856,-0.001332
691,-1.678335,-1.173159,-7.314286,-0.036505,0.007594,0.002398
706,-1.731008,-0.955286,-7.228095,-0.039836,-0.017720,0.014522
721,-1.766921,-1.027112,-7.168240,-0.004663,0.036639,0.010792
736,-1.577779,-1.400608,-7.307104,-0.041302,0.023449,-0.007328
751,-1.738190,-1.094150,-7.168240,-0.065550,0.016654,0.005063
766,-1.572991,-0.931344,-7.326257,-0.050228,0.025314,0.015855
781,-1.666364,-0.782904,-7.431602,-0.010525,-0.004263,-0.007994
796,-1.714248,-1.132457,-7.134721,0.007727,0.014256,0.000933
811,-1.833959,-1.403002,-7.242460,-0.022383,0.024914,0.001865
826,-1.589750,-1.288080,-7.256825,-0.059954,0.019985,-0.000666
841,-1.534683,-0.866701,-7.299921,-0.049429,0.007461,0.004263
856,-1.608904,-0.986411,-7.311892,-0.025181,0.009193,0.011591
871,-1.814805,-1.182736,-7.307104,-0.015855,0.011058,-0.002665
886,-1.721431,-1.285686,-7.285556,-0.029577,0.015055,0.004530
901,-1.651999,-1.209072,-7.146692,-0.048629,0.030110,0.005596
916,-1.417367,-0.969652,-7.335834,-0.057156,0.007594,0.003464
931,-1.671153,-0.864307,-7.390901,-0.017720,0.010392,-0.000266
946,-1.817199,-1.139640,-7.285556,-0.011058,0.002665,0.003730
961,-1.728614,-1.352724,-7.228095,-0.026913,0.022250,-0.001599
976,-1.618480,-1.237802,-7.216124,-0.055691,0.014123,0.005063
991,-1.549048,-1.046266,-7.350199,-0.061153,0.025980,0.008660
1006,-1.723825,-0.888249,-7.503428,-0.045832,-0.002398,0.005196
1021,-1.719037,-1.063026,-7.254431,-0.023315,0.012790,0.007994
1036,-1.687912,-1.237802,-7.225700,-0.023715,0.015055,0.001466
1051,-1.587356,-1.283292,-7.357382,-0.043034,0.019585,0.002132
1066,-1.687912,-1.048660,-7.290344,-0.043700,0.011991,0.001199
1081,-1.647211,-0.945710,-7.271191,-0.029311,0.007861,0.004263
