T,AX,AY,AZ,GX,GY,GZ
46,-5648,6100,-9968,-260,67,44
73,-5728,6136,-9880,-247,98,62
100,-5508,6188,-10000,-252,72,40
127,-5700,6160,-9916,-357,36,92
154,-5688,6144,-9948,-371,70,58
181,-5688,6264,-9888,-317,101,43
208,-5608,6216,-9872,-163,136,26
235,-5860,6176,-9864,-182,144,20
262,-5708,6164,-9824,-133,164,11
289,-5648,5996,-10080,-79,153,37
316,-5780,6080,-9980,-242,87,78
343,-5616,6096,-9996,-298,89,55
370,-5524,6324,-10048,-298,58,57
397,-5820,5836,-10032,-480,-47,149
424,-5664,6144,-9768,-432,47,107
451,-5392,6276,-10020,-442,183,12
478,-5752,6156,-9820,-394,268,-79
505,-5900,5976,-9936,-324,80,-71
532,-5620,6208,-9952,-262,29,14
559,-5696,6124,-9908,-216,41,72
586,-5796,6256,-10076,-168,115,13
613,-5608,6288,-9944,-94,111,15
640,-5668,6252,-10004,-169,63,49
667,-5952,6260,-9964,-189,109,44
694,-5692,6160,-10020,-116,198,9
721,-5536,6344,-10060,-113,146,32
748,-5932,6064,-10056,-243,137,29
775,-5784,6280,-10012,-238,196,0
802,-5516,6356,-10020,-259,229,-26
829,-5752,6284,-9832,-227,218,-43
856,-5864,6136,-10140,-157,180,-51
883,-5676,5920,-10024,-76,136,-54
910,-5656,6292,-10140,-185,136,12
937,-5908,6092,-10080,-154,150,-15
964,-5604,6316,-9916,-166,170,23
991,-5564,6128,-9960,-30,70,30
1018,-5872,6268,-10040,-214,75,66
1045,-5580,6132,-9864,-217,164,26
1072,-5632,6340,-10012,-146,241,-30
1099,-5804,6008,-10092,-209,145,36
1126,-5712,6104,-10028,-184,93,26
1153,-5512,6172,-9820,-206,47,37
1180,-5692,6088,-9992,-173,56,68
1207,-5768,6108,-9924,-280,49,43
1234,-5684,6228,-9916,-286,72,45
1261,-5628,6260,-9952,-179,115,-25
1288,-5956,6080,-9896,-244,147,46
1315,-5572,6196,-9904,-201,149,11
1342,-5716,6228,-9912,-312,196,25
1369,-5832,6236,-10212,-141,162,28
1396,-5648,6160,-10024,-213,121,50
1423,-5620,6160,-10068,-172,109,50
1450,-5780,6036,-9960,-260,98,49
1477,-5648,6168,-9996,-204,141,15
1504,-5552,6128,-9856,-156,91,62
1531,-5664,6240,-9880,-150,154,27
1558,-5748,5912,-9976,-203,139,9
1585,-5512,6064,-9928,-182,110,19
1612,-5720,6020,-9900,-242,87,37
1639,-5772,6040,-9948,-265,121,50
1666,-5476,6088,-9844,-211,101,32
1693,-5580,6076,-9768,-209,127,19
1720,-5740,6040,-9936,-215,134,22
1747,-5484,6108,-9976,-222,98,50
1774,-5564,6216,-9856,-246,128,13
1801,-5564,5912,-9976,-464,36,76
1828,-5712,6108,-10200,-434,86,90
1855,-5664,6212,-10152,-225,125,20
1882,-5904,6112,-9996,-93,110,-17
1909,-5688,5728,-10248,-295,-33,65
1936,-5496,6008,-10000,-485,-33,154
1963,-5712,6332,-9972,-408,-61,95
1990,-5696,6344,-9900,-365,25,55
2017,-5612,6376,-9884,-281,96,36
2044,-5724,6124,-9984,-201,166,18
2071,-5872,5836,-10044,-150,104,-15
2098,-5572,5912,-10096,-267,62,83
2125,-5664,6052,-9868,-258,61,53
2152,-5612,6252,-9908,-310,-7,98
2179,-5700,6240,-9768,-190,105,31
2206,-5664,6168,-10056,-240,100,21
2233,-5620,6100,-10060,-187,132,19
2260,-5768,6020,-9984,-263,72,50
2287,-5784,5888,-9984,-281,41,62
2314,-5520,6216,-9936,-347,-5,95
2341,-5676,6264,-9920,-314,53,90
2368,-5784,6264,-9784,-242,76,48
2395,-5572,6224,-9940,-198,81,42
2422,-5724,6220,-9936,-210,87,69
2449,-5836,6040,-10048,-206,134,38
2476,-5584,6004,-10060,-248,99,57
2503,-5604,5936,-9920,-272,53,82
2530,-5760,6108,-9920,-320,-31,115
2557,-5620,6224,-9956,-326,47,103
2584,-5608,6300,-9820,-261,91,76
2611,-5792,6012,-10000,-212,136,61
2638,-5672,6020,-9828,-202,173,64
2665,-5600,6164,-10116,-264,112,50
2692,-5784,6312,-10200,-111,195,-20
2719,-5720,6164,-9892,-92,153,-66
2746,-5396,6224,-9872,-242,122,10
2773,-5696,6260,-10008,-207,138,-6
2800,-5780,6056,-10016,-135,64,-13
2827,-5580,6148,-9952,-139,35,36
2854,-5864,6320,-9944,-121,131,20
2881,-5832,6332,-9996,62,184,-34
2908,-5536,6124,-9776,-67,187,39
2935,-5652,6092,-9956,-183,146,66
2962,-5880,6264,-10008,-287,107,55
2989,-5660,6184,-9960,-284,151,6
3016,-5624,6144,-9984,-212,170,-8
3043,-5796,6184,-10044,-236,155,5
3070,-5808,6128,-9992,-185,148,-48
3097,-5632,6244,-9900,-181,163,-4
3124,-5756,6088,-9900,-176,125,23
3151,-5612,6176,-9824,-221,120,-14
3178,-5488,6256,-10040,-249,110,43
3205,-5624,6256,-10016,-202,134,9
3232,-5772,6052,-9948,-133,119,1
3259,-5568,6072,-9880,-108,103,2
3286,-5592,6224,-9808,-184,99,51
3313,-5696,6160,-9876,-211,101,22
3340,-5572,6160,-10052,-192,137,17
3367,-5584,6256,-10096,-195,125,13
3394,-5708,5992,-10096,-183,63,25
3421,-5736,6144,-9932,-214,68,53
3448,-5640,6080,-9884,-177,85,19
3475,-5712,6016,-9956,-287,90,33
3502,-5700,6164,-10004,-269,150,29
3529,-5516,6268,-9904,-294,171,30
3556,-5800,6096,-10012,-268,124,31
3583,-5760,6160,-10044,-218,89,30
3610,-5608,6228,-9924,-227,102,40
3637,-5716,6120,-10092,-215,128,40
3664,-5924,6104,-9920,-200,133,20
3691,-5664,6304,-9856,-154,103,14
3718,-5596,6152,-9956,-169,70,51
3745,-5780,6032,-9944,-193,125,25
3772,-5500,6048,-10036,-280,106,10
3799,-5648,6096,-9860,-339,82,56
3826,-5928,5948,-9916,-394,13,66
3853,-5708,6120,-9824,-374,63,85
3880,-5532,6244,-10032,-283,80,40
3907,-5724,6268,-9968,-211,122,61
3934,-5744,6052,-9904,-188,135,26
3961,-5512,6156,-9908,-203,150,15
3988,-5556,5996,-9764,-163,90,26
4015,-5704,5964,-9944,-245,74,41
4042,-5552,6272,-9960,-282,97,69
4069,-5648,6160,-9908,-251,93,32
4096,-5732,6128,-9952,-234,96,66
4123,-5700,5996,-9856,-208,87,32
4150,-5604,6108,-9856,-200,118,31
4177,-5800,6144,-9948,-205,83,31
4204,-5628,6260,-9892,-216,21,40
4231,-5320,6300,-10132,-301,70,59
4258,-5740,6048,-10040,-395,96,61
4285,-5760,5888,-10196,-194,158,31
4312,-5600,6084,-10136,-120,169,35
4339,-5648,6120,-9892,-163,100,8
4366,-5880,6072,-9876,-303,75,30
4393,-5688,6168,-9940,-181,82,17
4420,-5676,6492,-9836,-162,129,20
4447,-5832,6224,-9980,-148,239,-39
4474,-5508,6156,-9952,-182,265,-12
4501,-5640,6200,-9980,-211,207,-36
4528,-5852,6008,-10032,-229,50,-30
4555,-5728,5936,-10268,-287,25,24
4582,-5652,6052,-10184,-362,32,40
4609,-5864,6176,-10032,-247,65,13
4636,-5760,6140,-9824,-263,103,21
4663,-5640,6140,-10004,-257,120,20
4690,-5748,6224,-9904,-207,119,-38
4717,-5648,6028,-9948,-298,72,-50
4744,-5664,6060,-9912,-234,-56,-55
4771,-5808,6000,-9864,-288,172,48
4798,-5840,5960,-9868,-215,25,69
4825,-5596,6332,-9968,-213,89,35
4852,-5588,6176,-9912,-210,59,32
4879,-5932,6056,-9980,-194,102,14
4906,-5532,6156,-9924,-164,95,45
4933,-5676,6108,-9804,-123,133,-2
4960,-5808,5900,-9964,-90,106,8
4987,-5636,6092,-10060,-174,140,36
5014,-5580,6136,-9916,-149,144,30
5041,-5748,6176,-9884,-228,85,38
5068,-5636,6120,-9876,-212,108,35
5095,-5536,6088,-9872,-299,80,75
5122,-5772,6092,-9772,-226,89,44
5149,-5768,6124,-9968,-235,87,41
5176,-5596,6220,-9900,-247,106,39
5203,-5624,6340,-9940,-236,119,32
5230,-5836,5976,-9972,-182,67,31
5257,-5560,6152,-10028,-148,6,57
5284,-5648,6028,-9876,-265,-69,89
5311,-5920,6056,-9924,-361,61,78
5338,-5660,5980,-9988,-208,127,-16
5365,-5600,6196,-9896,-379,18,106
5392,-5884,6152,-9932,-376,-39,64
5419,-5664,6268,-9856,-327,6,74
5446,-5676,6272,-9944,-308,147,102
5473,-5832,6160,-9912,-244,45,42
5500,-5788,6092,-9944,-340,108,79
5527,-5680,6220,-10012,-209,89,63
5554,-5688,6360,-9644,-135,116,104
5581,-5900,5960,-10080,-146,73,121
5608,-5576,6340,-9908,-184,107,109
5635,-5648,6380,-9960,-135,171,33
5662,-5764,5944,-10020,-183,137,39
5689,-5944,6124,-9948,-244,79,62
5716,-5832,6176,-9972,-251,66,9
5743,-5628,6256,-9904,-269,103,29
5770,-5836,6188,-9968,-207,153,11
5797,-5788,6208,-9932,-168,126,23
5824,-5596,6248,-9992,-205,132,33
5851,-5788,6192,-9960,-284,159,16
5878,-5756,6120,-10040,-224,187,-8
5905,-5568,6048,-9960,-207,142,-3
5932,-5756,6256,-9904,-247,130,29
5959,-5748,6220,-9972,-178,170,6
5986,-5572,6196,-9880,-97,64,-1
6013,-5736,6216,-9948,-221,80,44
6040,-5980,6132,-9936,-159,131,21
6067,-5688,6020,-9908,-165,133,15
6094,-5684,6164,-10056,-173,82,17
6121,-5796,6164,-10060,-223,86,55
6148,-5640,6080,-9916,-255,79,37
6175,-5668,6284,-9760,-145,85,33
6202,-5808,6120,-9852,-229,37,67
6229,-5636,6092,-9848,-240,115,40
6256,-5592,6324,-9832,-150,127,16
6283,-5736,6040,-9836,-249,104,58
6310,-5824,6156,-9888,-246,140,15
6337,-5528,6236,-9864,-197,191,-6
6364,-5740,6104,-9868,-182,141,12
6391,-5904,6068,-9880,-210,129,53
6418,-5652,6000,-9764,-297,157,19
6445,-5644,6208,-10104,-380,-17,49
6472,-5880,6372,-10320,-370,134,89
6499,-5960,6328,-10336,-226,146,21
6526,-5796,6216,-10232,-121,119,-37
6553,-5932,6264,-9948,-238,70,48
6580,-5796,6380,-10020,-173,63,61
6607,-5760,6536,-10056,-104,15,40
6634,-5912,6192,-10084,-42,169,-16
6661,-5756,6156,-9996,-19,115,-13
6688,-5524,6140,-9788,-178,88,35
6715,-5864,6112,-10056,-154,14,20
6742,-5980,6092,-9852,-140,31,37
6769,-5632,6348,-9940,-66,117,21
6796,-5676,6248,-9928,-82,192,-13
6823,-5796,5996,-9996,-208,193,0
6850,-5604,6160,-9884,-257,248,9
6877,-5652,6372,-9844,-269,254,-50
6904,-5848,6004,-10084,-281,149,-37
6931,-5764,5976,-10072,-332,91,16
6958,-5776,6112,-10024,-309,130,-8
6985,-5736,6124,-9816,-281,181,18
7012,-5708,6164,-9900,-193,178,6
7039,-5564,6056,-9980,-239,123,67
7066,-5764,6244,-9964,-166,115,36
7093,-5732,6092,-10076,-102,71,-5
7120,-5628,6132,-9776,-119,52,23
7147,-5664,6088,-9860,-104,24,20
7174,-5904,5984,-10040,-261,47,55
7201,-5568,6132,-9968,-244,127,-5
7228,-5500,6172,-9996,-200,110,1
7255,-5696,5992,-9900,-242,110,25
7282,-5608,6084,-9840,-296,121,9
7309,-5588,6128,-9836,-243,168,-11
7336,-5788,5840,-9940,-219,72,29
7363,-5696,6068,-9864,-255,115,67
7390,-5568,6104,-9964,-330,87,72
7417,-5736,6164,-9860,-195,85,23
7444,-5756,6000,-9932,-257,34,58
7471,-5592,6164,-9976,-244,46,75
7498,-5784,6120,-9892,-261,145,84
7525,-5812,5968,-10108,-188,72,58
7552,-5640,6136,-10164,-229,54,77
7579,-5728,6208,-9892,-228,72,80
7606,-5912,6080,-10024,-233,179,2
7633,-5580,6200,-9876,-122,215,-22
7660,-5520,6236,-9844,-225,211,15
7687,-5776,6072,-9932,-258,143,11
7714,-5784,6036,-10024,-193,109,20
7741,-5656,6108,-10008,-245,81,14
7768,-5844,6052,-10120,-230,98,0
7795,-5672,6056,-10072,-259,109,25
7822,-5524,6156,-9840,-279,132,43
7849,-5748,6116,-9896,-265,160,17
7876,-5776,6120,-9980,-235,163,14
7903,-5664,6048,-10024,-154,86,28
7930,-5728,6108,-10188,-231,58,61
7957,-5796,5932,-10088,-254,86,59
7984,-5476,6128,-9984,-189,103,49
8011,-5676,6000,-9964,-192,117,45
8038,-5848,5920,-9876,-182,133,51
8065,-5556,6056,-10060,-246,100,65
8092,-5532,5780,-9932,-397,31,113
8119,-5768,5996,-9864,-402,10,72
8146,-5668,6036,-9896,-363,44,55
8173,-5552,5996,-9856,-337,-12,99
8200,-5788,6028,-10092,-345,-7,122
8227,-5752,6184,-9916,-358,38,107
8254,-5528,6244,-9848,-259,53,61
8281,-5744,6040,-9860,-272,-13,97
8308,-5744,6108,-9804,-300,6,104
8335,-5604,6188,-9896,-331,56,87
8362,-5852,6052,-9940,-239,83,69
8389,-5992,6076,-10032,-190,89,72
8416,-5684,6356,-10012,-234,55,85
8443,-5676,6208,-9900,-262,40,112
8470,-5904,6644,-10076,-190,178,51
8497,-5976,6504,-10092,-153,169,-28
8524,-5676,6468,-10180,-65,191,-74
8551,-5996,6144,-9996,-285,203,25
8578,-5632,6276,-10092,-230,164,42
8605,-5724,6224,-10148,-223,178,28
8632,-5864,6296,-10108,-106,194,-49
8659,-5676,6044,-9904,-137,171,-13
8686,-5532,5996,-9744,-198,153,25
8713,-5772,6076,-10032,-240,124,22
8740,-5776,6020,-9948,-196,92,34
8767,-5496,6264,-9764,-145,142,17
8794,-5572,6104,-9744,-158,92,22
8821,-5720,6136,-9908,-194,73,34
8848,-5652,6040,-9892,-243,90,51
8875,-5564,6200,-9832,-230,146,27
8902,-5656,6052,-9796,-226,195,-7
8929,-5564,6012,-9912,-342,133,-3
8956,-5628,6056,-10048,-356,43,43
8983,-5688,6268,-9780,-354,70,2
