T,AX,AY,AZ,GX,GY,GZ
46,-5892,6100,-10124,-624,-28,120
73,-5732,6364,-9792,-435,121,38
100,-5772,6300,-9856,-214,163,-15
127,-5792,5924,-9832,-171,-15,-118
154,-5772,6080,-9700,-136,107,-22
181,-5752,6012,-9912,-120,214,-41
208,-5848,6260,-9956,-285,202,19
235,-5976,6240,-10000,-328,205,-9
262,-5712,6312,-9820,-326,-92,-47
289,-5796,6204,-9880,-417,50,19
316,-5848,6448,-9840,-451,6,-73
343,-6060,6200,-9644,-331,-82,-150
370,-6084,6108,-9804,-416,15,-27
397,-5996,6100,-9744,-231,50,54
424,-5856,6308,-9720,-85,78,16
451,-5832,6480,-9836,93,335,-29
478,-5864,6344,-9620,363,289,-14
505,-5816,6072,-10012,23,224,116
532,-5628,6160,-9944,-111,35,33
559,-5760,6096,-9888,-509,36,103
586,-5960,6084,-9940,-531,329,-16
613,-5492,6412,-10024,-692,-159,-123
640,-5740,6312,-9900,-712,-23,-111
667,-5980,6116,-9736,-412,116,-65
694,-5688,6308,-9924,-235,139,0
721,-5812,6224,-9844,-110,163,-16
748,-5972,6104,-9612,-23,176,-36
775,-5764,6352,-10080,-78,251,-69
802,-5640,6108,-9972,-258,185,-67
829,-5472,6264,-10068,-357,-193,-43
856,-5832,5988,-9796,-480,-111,130
883,-5728,6140,-9872,-343,23,87
910,-6212,6268,-9800,-166,151,51
937,-5944,6196,-9884,-55,175,-45
964,-5740,6336,-9892,-165,171,-31
991,-5744,6344,-9860,-220,249,-36
1018,-5888,6196,-9880,-273,269,-21
1045,-5616,6280,-9996,-381,73,4
1072,-5756,6364,-9832,-175,184,-22
1099,-5920,6008,-9804,-62,120,6
1126,-5824,6108,-9812,-42,23,66
1153,-5840,6036,-9772,-148,-15,125
1180,-5784,6128,-9876,-123,-84,114
1207,-5760,6188,-9836,-187,10,167
1234,-5716,6136,-9640,-227,61,228
1261,-5924,6240,-9696,-64,149,198
1288,-5916,6052,-10104,-122,90,150
1315,-5728,6136,-10000,-241,133,233
1342,-5996,6208,-9824,-217,83,273
1369,-5844,6384,-9884,3,300,207
1396,-5648,6432,-9968,170,284,7
1423,-5792,6040,-9876,-26,211,-50
1450,-5868,5924,-10028,-268,311,-85
1477,-5936,5984,-9960,-201,675,-99
1504,-5664,6268,-9796,-290,32,-98
1531,-5868,6160,-9716,-157,378,-138
1558,-5900,5936,-9728,-160,120,-56
1585,-5624,6256,-9884,-241,179,40
1612,-5944,6308,-9820,-78,278,-45
1639,-5848,5952,-10036,-61,300,-73
1666,-5736,5884,-10044,-188,147,-23
1693,-5808,6288,-10036,-365,112,-29
1720,-5656,6204,-10100,-405,-106,-46
1747,-5708,6184,-9848,-359,-72,-24
1774,-5960,6160,-9964,-407,109,-7
1801,-5876,6192,-9920,-359,77,-23
1828,-5752,6152,-9944,-234,267,-24
1855,-5892,6080,-9688,-154,185,7
1882,-5956,6156,-9980,-171,123,50
1909,-5672,6196,-9812,-240,140,48
1936,-5792,6116,-9828,-175,82,66
1963,-5836,6284,-9796,-89,131,36
1990,-5788,6000,-9988,-87,159,59
2017,-5688,6104,-9860,-110,-26,32
2044,-5828,6032,-9928,-152,-89,117
2071,-5832,6244,-9744,-210,-80,164
2098,-5940,6016,-9976,-325,-27,168
2125,-5668,6176,-9928,-301,-63,157
2152,-5836,6320,-9692,-264,-41,33
2179,-5840,6188,-10088,-93,153,-78
2206,-5748,5948,-9880,-403,-67,123
2233,-5740,6320,-9768,-354,-96,113
2260,-5980,5992,-9772,-316,-146,143
2287,-5884,6036,-9716,-408,-175,198
2314,-6072,6048,-9924,-122,82,166
2341,-6084,6328,-9900,-262,-130,174
2368,-5864,6208,-9960,-189,-120,36
2395,-5824,6360,-9780,-193,-127,79
2422,-6164,6484,-9632,123,225,-175
2449,-5716,5908,-10228,17,246,-184
2476,-5788,5828,-9892,-236,39,20
2503,-5992,6168,-9820,-173,147,0
2530,-7724,8528,-9068,494,-96,-183
2557,-4988,9204,-10456,804,168,-580
2584,-5900,6160,-9492,-139,-5,-12
2611,-4572,6176,-10176,-132,427,-45
2638,-6044,5080,-10208,-141,160,16
2665,-5864,6792,-10696,621,434,-339
2692,-6796,6036,-10124,372,168,-138
2719,-5832,6472,-9648,472,350,2
2746,-6176,6124,-9512,271,-80,251
2773,-5864,6196,-9780,310,280,307
2800,-5672,6120,-9872,173,-125,186
2827,-5336,6264,-9936,109,178,18
2854,-5888,5504,-9796,15,90,67
2881,-5892,5952,-9764,-143,150,95
2908,-5808,5640,-10000,-109,119,9
2935,-5960,5868,-10052,-371,94,20
2962,-6172,5880,-9996,-323,68,14
2989,-5796,5960,-10220,-446,28,74
3016,-5824,6456,-9708,-562,17,151
3043,-6020,6168,-9840,-409,7,53
3070,-5920,5992,-10080,-512,-10,96
3097,-5884,6664,-9924,-243,333,-42
3124,-6160,5672,-9976,-320,-276,15
3151,-5936,5784,-9996,-546,-253,237
3178,-5908,6488,-9672,-281,-129,97
3205,-6016,6160,-9624,-177,118,-12
3232,-5900,6552,-9568,-42,435,-104
3259,-5796,6116,-9728,-1,663,-210
3286,-6276,5820,-9780,56,313,-262
3313,-5668,5540,-10404,-343,-343,-35
3340,-5864,5904,-9744,-547,-188,216
3367,-5924,6076,-9916,-345,42,126
3394,-5976,6276,-9796,-171,236,19
3421,-5732,6248,-9896,-54,185,10
3448,-5844,6148,-9888,-146,60,44
3475,-6040,5984,-9972,-272,-26,112
3502,-6024,6136,-9748,-215,-136,-15
3529,-6164,6276,-9848,259,381,-388
3556,-7372,4688,-10292,121,146,-77
3583,-5884,6452,-8816,-774,56,463
3610,-6080,6284,-9440,-618,27,342
3637,-5924,6096,-9500,-443,-12,137
3664,-5892,6028,-9704,-287,-31,117
3691,-5852,6436,-9616,-312,273,151
3718,-5940,5844,-9956,-306,56,67
3745,-6044,6072,-9932,-470,-35,103
3772,-5892,5964,-10016,-396,-74,86
3799,-6004,6044,-9692,-501,-85,118
3826,-6224,6012,-9768,-236,242,-15
3853,-5504,6312,-9760,-252,237,-21
3880,-5508,5580,-10388,-273,192,82
3907,-6316,6216,-9660,-402,252,65
3934,-6004,5808,-9744,-8,202,-115
3961,-5696,6700,-9652,-33,289,-110
3988,-6080,6140,-9724,-79,-131,-124
4015,-6352,5260,-10156,-362,-50,185
4042,-6296,6220,-10100,-71,-7,62
4069,-6044,6064,-10268,-270,-214,136
4096,-6320,6192,-9808,-121,50,17
4123,-5800,6048,-10136,-173,36,50
