T,AX,AY,AZ,GX,GY,GZ
46,-4804,6948,-10132,-86,-31,-61
73,-4880,6732,-9896,-72,18,-60
100,-4932,6764,-9976,-205,133,62
127,-5040,6948,-10188,-179,123,87
154,-4880,6964,-10204,-14,224,90
181,-5108,6736,-10032,-68,218,138
208,-4992,6644,-9996,35,13,31
235,-4872,6696,-10080,-8,45,72
262,-5088,6752,-10152,115,183,34
289,-4964,6432,-10012,66,237,-59
316,-4452,6504,-9824,-246,270,123
343,-4552,6660,-9760,-138,-107,74
370,-5120,6484,-9924,-239,-287,67
397,-5192,6472,-10056,-244,-195,76
424,-5272,6664,-10280,-69,-87,-91
451,-5312,6436,-10292,-72,275,-69
478,-4848,6592,-10132,-113,219,-115
505,-4760,6608,-10092,-258,182,-20
532,-4916,6804,-10144,-314,242,154
559,-5016,6640,-10132,-115,47,22
586,-5048,6724,-10256,-150,91,5
613,-5120,6548,-10148,-287,264,97
640,-4852,6768,-10192,-147,321,100
667,-4484,6640,-10116,-80,207,60
694,-4912,6668,-10012,-164,136,84
721,-5008,6472,-10216,-334,294,186
748,-4636,6792,-10060,-316,142,241
775,-4692,6644,-9852,-50,-6,121
802,-5100,6432,-10012,-181,12,102
829,-4884,6560,-10156,-275,78,62
856,-4688,6588,-10288,-328,100,131
883,-4868,6644,-10240,-264,90,70
910,-5036,6560,-10124,-109,68,-13
937,-4956,6524,-10120,-256,140,72
964,-4884,6516,-10016,-358,142,114
991,-4832,6732,-10096,-297,56,67
1018,-4628,6572,-9924,-150,-37,-53
1045,-4928,6432,-9876,-409,-80,50
1072,-5148,6600,-9968,-417,-17,60
1099,-4912,6772,-10060,-248,93,-66
1126,-4932,6616,-10088,-252,159,3
1153,-4980,6588,-10096,-236,62,-29
1180,-4840,6620,-10012,-345,-66,37
1207,-4744,6756,-10008,-314,-181,9
1234,-5108,6700,-10160,-128,-125,-89
1261,-5084,6640,-10136,-187,234,-31
1288,-4788,6904,-9872,-144,407,2
1315,-4940,6632,-9952,-145,189,-30
1342,-4976,6688,-10012,-230,217,7
1369,-4752,6880,-9848,-31,157,-93
1396,-4984,6580,-10040,-120,33,-53
1423,-5128,6776,-10168,-160,-76,-75
1450,-5140,6804,-10120,-18,147,-62
1477,-5064,6684,-10144,-2,300,34
1504,-4944,6480,-10144,-188,227,95
1531,-4764,6760,-10292,-285,220,111
