T,AX,AY,AZ,GX,GY,GZ
46,-5956,6108,-9840,-236,87,44
73,-6212,5992,-9860,-291,61,57
100,-6344,6008,-9692,-247,61,45
127,-6060,6188,-9716,-208,95,81
154,-6096,6068,-9676,-163,84,64
181,-6292,6052,-9816,-198,104,90
208,-6148,6012,-9960,-291,59,77
235,-6084,6288,-9960,-152,54,8
262,-6300,6220,-9900,-231,82,49
289,-6360,5908,-10000,-369,141,117
316,-6172,5860,-9788,-138,-28,62
343,-6148,6092,-9708,-144,-35,94
370,-6136,6136,-9712,-255,-8,79
397,-5984,6216,-9840,-286,42,38
424,-6348,6036,-9824,-300,75,21
451,-6196,6108,-9588,-278,106,-18
478,-6160,6020,-9672,-290,102,-24
505,-6288,6204,-9880,-203,202,-39
532,-6392,6032,-9960,-210,169,-34
559,-6164,6124,-9780,-256,131,-18
586,-6256,6032,-9836,-265,146,-44
613,-6304,6000,-9804,-273,173,-29
640,-6180,6160,-9824,-257,196,-25
667,-6088,6140,-9752,-249,149,5
694,-6352,6012,-9656,-289,93,30
721,-6140,6036,-9668,-301,93,19
748,-5992,6164,-9656,-352,113,2
775,-6448,6096,-9804,-369,122,-15
802,-6200,6124,-9844,-288,86,-6
829,-6168,6220,-9744,-313,125,-3
856,-6204,6092,-9720,-229,121,3
883,-6380,6052,-9736,-237,113,65
910,-6116,6080,-9740,-227,67,91
937,-6252,6088,-10008,-276,63,58
964,-6324,6132,-9648,-312,-15,76
991,-6124,6208,-9696,-338,-28,94
1018,-6096,6212,-9684,-347,-48,104
1045,-6340,6208,-9664,-329,-3,82
1072,-6104,6188,-9736,-366,9,38
1099,-6096,6268,-9568,-306,53,15
1126,-6356,6248,-9824,-222,87,45
1153,-6316,6184,-9740,-167,118,56
1180,-6032,6416,-9780,-176,212,-18
1207,-6312,6240,-9700,-136,274,-28
1234,-6232,6100,-9704,-78,237,-8
1261,-6184,5948,-9704,-157,62,84
1288,-6308,6180,-9588,-53,-40,169
1315,-6320,6176,-9736,28,-58,191
1342,-5960,6424,-9628,85,84,115
1369,-6048,6348,-9472,-68,204,22
1396,-6240,6176,-9604,-8,365,-92
1423,-6212,6112,-9824,4,406,-104
1450,-6116,6104,-9764,81,403,-121
1477,-6268,5836,-9840,-17,391,-123
1504,-6116,5908,-9912,-216,320,-116
1531,-6004,6108,-9760,-246,206,-98
1558,-6248,5936,-9860,-329,192,-36
1585,-6252,6184,-9876,-224,212,-50
1612,-5920,6192,-9880,-236,210,-29
1639,-6164,5992,-9828,-189,181,-32
1666,-6196,6024,-9804,-169,134,0
1693,-6068,6020,-9644,-144,61,30
1720,-6212,5976,-9788,-340,14,106
1747,-6160,6044,-10024,-486,-129,100
1774,-5944,6204,-9644,-554,-86,-8
1801,-6048,6192,-9572,-549,100,-69
1828,-6316,6248,-9248,-433,301,-141
1855,-5996,6052,-9776,-434,381,-120
1882,-6048,6152,-9608,-366,455,-127
1909,-6248,6196,-9580,-293,607,-168
1936,-6164,6704,-9648,-231,-778,-575
1963,-6116,5724,-9864,-557,808,-186
1990,-6520,5960,-10092,-39,640,-393
